Bench,Block,Pop,Position,Cohort,First Bud Date,Height (cm) @ First Bud ,First Flower Date,Height (cm) @ First Flower,First Fruit Date,Height (cm) @ First Fruit,Death Date,Notes
1,13,CAIN4,A03,cohort 1,1/31/22,,2/16/22,,2/25/22,20.2,4/25/22,
3,13,CAIN3,G07,cohort 1,1/27/22,,2/18/22,,2/28/22,,5/6/22,
2,4,STIN,C01,cohort 1,1/24/22,,2/1/22,,3/2/22,,5/11/22,
4,5,CAAM,D06,cohort 1,1/24/22,,2/7/22,,3/2/22,16.2,,height recorded 4/4
4,6,CAIN3,B08,cohort 1,1/24/22,,2/11/22,,3/2/22,17.6,,height recorded 4/4
4,10,CAAN2,D10,cohort 1,1/24/22,,2/14/22,,3/2/22,12,4/27/22,height recorded 4/4
4,12,CAIN4,F04,cohort 1,1/24/22,,2/14/22,,3/2/22,15.7,4/27/22,
3,14,CACO1,C09,cohort 1,1/24/22,,2/14/22,,3/2/22,,,
3,5,CAAN1,E09,cohort 1,1/27/22,,2/16/22,,3/2/22,,,
4,9,CAAN1,A01,cohort 4,2/9/22,,2/18/22,,3/2/22,10.1,4/27/22,height recorded 4/4
4,9,CAAN1,C11,cohort 4,2/11/22,,2/18/22,,3/2/22,10.6,4/27/22,height recorded 4/4
4,9,CAAN1,B10,cohort 4,2/11/22,,2/18/22,,3/2/22,11,,height recorded 4/4
4,5,CAAM,A03,cohort 2,,,2/18/22,,3/2/22,17.1,,height recorded 4/4
3,5,CAAN1,B02,cohort 4,2/7/22,,2/18/22,,3/2/22,,,
3,5,CAAN1,B12,cohort 4,2/7/22,,2/18/22,,3/2/22,,,
1,14,CAAN1,A13,cohort 4,2/11/22,,2/21/22,,3/2/22,10.7,5/11/22,
1,13,CAIN4,E13,cohort 1,1/31/22,,2/21/22,,3/2/22,20.9,5/11/22,
2,9,CAAN1,B06,cohort 4,2/11/22,,2/21/22,,3/2/22,,5/23/22,
1,12,CAAM,F06,cohort 1,1/24/22,,2/3/22,,3/4/22,19.6,,
1,2,STIN,C03,cohort 3,1/31/22,,2/11/22,,3/4/22,6.8,5/11/22,
1,14,CAAN1,A07,cohort 4,2/7/22,,2/18/22,,3/4/22,8.4,,
1,12,CAAM,A05,cohort 1,2/1/22,,2/18/22,,3/4/22,15,,
3,13,CAIN3,E13,cohort 1,1/31/22,,2/18/22,,3/4/22,22.3,,
1,14,CAAN1,A05,cohort 3,2/7/22,,2/21/22,,3/4/22,8.6,,
1,14,CAAN1,G09,cohort 4,2/11/22,,2/21/22,,3/4/22,8.6,,
2,9,CAAN1,F10,cohort 3,2/11/22,,2/21/22,,3/4/22,,,
3,5,CAAN1,F10,cohort 4,2/11/22,,2/21/22,,3/4/22,,,
2,6,CAAN2,F10,cohort 1,2/7/22,,2/21/22,,3/4/22,,,
3,5,CAAN1,G05,cohort 3,2/11/22,,2/23/22,,3/4/22,,,
2,3,CAIN3,D10,cohort 1,2/7/22,,2/23/22,,3/4/22,,4/18/22,no red pick
1,14,CAAN1,A09,cohort 2,2/16/22,,2/25/22,,3/4/22,12.1,5/11/22,
1,14,CAAN1,F10,cohort 1,2/11/22,,2/28/22,,3/4/22,10.4,,
3,1,STIN,D10,cohort 2,2/7/22,,2/21/22,,3/6/22,7.5,,
4,8,STIN,B12,cohort 1,1/24/22,,2/14/22,,3/7/22,10.1,,height recorded 4/6
3,14,CACO1,F14,cohort 1,1/31/22,,2/16/22,,3/7/22,,,
3,9,CAAM,F04,cohort 2,,,2/18/22,,3/7/22,14,,height recorded 3/30
4,9,CAAN1,D12,cohort 4,2/11/22,,2/21/22,,3/7/22,12.1,5/25/22,height recorded 4/4
4,6,CAIN3,C07,cohort 1,1/31/22,,2/21/22,,3/7/22,15.2,,height recorded 4/4
4,5,CAAM,B12,cohort 2,2/3/22,,2/21/22,,3/7/22,16.1,,height recorded 4/4
1,7,CACO1,G07,cohort 1,2/11/22,,2/21/22,,3/7/22,30.8,,
4,5,CAAM,D14,cohort 2,2/11/22,,2/23/22,,3/7/22,16.1,,height recorded 4/4
2,9,CAAN1,G13,cohort 4,2/7/22,,2/23/22,,3/7/22,,,
1,1,CAAN2,G05,cohort 2,2/11/22,,2/25/22,,3/7/22,9.1,5/23/22,
4,6,CAIN3,B12,cohort 3,2/9/22,,2/25/22,,3/7/22,18.3,,height recorded 4/4
3,12,CAIN4,E11,cohort 1,,,2/25/22,,3/7/22,20.5,,
2,9,CAAN1,B08,cohort 4,2/14/22,,2/25/22,,3/7/22,,5/11/22,
3,5,CAAN1,F04,cohort 1,2/11/22,,2/25/22,,3/7/22,,,
2,9,CAAN1,A11,cohort 4,2/16/22,,2/28/22,,3/7/22,,5/23/22,
3,5,CAAN1,E07,cohort 4,2/16/22,,2/28/22,,3/7/22,,,
3,1,STIN,B08,cohort 2,2/11/22,,3/2/22,,3/7/22,8.4,,
1,14,CAAN1,G03,cohort 1,2/14/22,,3/2/22,,3/7/22,9.1,5/23/22,
1,1,CAAN2,A11,cohort 3,2/16/22,,3/7/22,,3/7/22,5.6,4/29/22,3/7 already fruiting without flower date
3,1,STIN,D04,cohort 1,1/10/22,,1/27/22,,3/9/22,7.5,,
3,1,STIN,C03,cohort 1,1/24/22,,2/4/22,,3/9/22,8.3,5/6/22,
3,2,CAAN2,F08,cohort 1,1/31/22,,2/14/22,,3/9/22,13.1,,
3,5,CAAN1,E03,cohort 3,2/1/22,,2/16/22,,3/9/22,11.1,,
4,8,STIN,C03,cohort 1,1/24/22,,2/16/22,,3/9/22,13.5,,
4,8,STIN,B10,cohort 1,1/10/22,,2/18/22,,3/9/22,11.5,,
3,9,CAAM,G01,cohort 1,1/31/22,,2/18/22,,3/9/22,18.5,,
1,1,CAAN2,C09,cohort 4,2/7/22,,2/21/22,,3/9/22,11.2,5/11/22,
3,9,CAAM,C05,cohort 1,2/3/22,,2/21/22,,3/9/22,18.3,,
2,9,CAAN1,A03,cohort 4,2/14/22,,2/23/22,,3/9/22,10.1,5/11/22,
3,5,CAAN1,F08,cohort 4,2/11/22,,2/23/22,,3/9/22,16.5,,
3,9,CAAM,D12,cohort 2,2/7/22,,2/23/22,,3/9/22,17.5,,
3,9,CAAM,A05,cohort 1,2/11/22,,2/25/22,,3/9/22,17.2,,
3,5,CAAN1,D04,cohort 1,2/16/22,,3/2/22,,3/9/22,8.7,,
1,1,CAAN2,D10,cohort 4,2/7/22,,3/4/22,,3/9/22,12.3,,
3,1,STIN,A05,cohort 1,1/10/22,,1/27/22,,3/11/22,7.2,,
2,4,STIN,E07,cohort 1,1/24/22,,1/27/22,,3/11/22,8.5,5/11/22,
3,1,STIN,E07,cohort 1,1/10/22,,2/3/22,,3/11/22,8.7,4/27/22,
4,10,CAAN2,D12,cohort 1,1/31/22,,2/18/22,,3/11/22,13.2,,
1,2,STIN,G07,cohort 2,2/9/22,,2/23/22,,3/11/22,8,5/23/22,
4,4,CACO1,G09,cohort 1,2/3/22,,2/23/22,,3/11/22,15.9,,
2,8,CAAM,C11,cohort 1,2/7/22,,2/23/22,,3/11/22,18,,already had pick for fruit but no record
1,1,CAAN2,B02,cohort 1,2/11/22,,2/25/22,,3/11/22,8.5,5/23/22,
2,9,CAAN1,B02,cohort 3,2/14/22,,2/25/22,,3/11/22,12.7,,
2,9,CAAN1,C05,cohort 2,2/18/22,,2/28/22,,3/11/22,6.5,5/11/22,
2,4,STIN,D04,cohort 2,2/16/22,,2/28/22,,3/11/22,9.5,5/23/22,
1,14,CAAN1,D02,cohort 4,2/16/22,,2/28/22,,3/11/22,10,5/11/22,
1,1,CAAN2,A03,cohort 4,2/16/22,,2/28/22,,3/11/22,15,5/23/22,
4,5,CAAM,B02,cohort 1,2/2/22,,2/28/22,,3/11/22,17.6,,
2,1,CACO1,F02,cohort 1,2/16/22,,2/28/22,,3/11/22,18.6,5/23/22,
2,8,CAAM,A07,cohort 1,2/9/22,,2/28/22,,3/11/22,21,,
4,10,CAAN2,B04,cohort 4,2/14/22,,3/2/22,,3/11/22,8.1,,
2,8,CAAM,G07,cohort 2,2/14/22,,3/2/22,,3/11/22,11,,
1,12,CAAM,E01,cohort 1,2/7/22,,3/2/22,,3/11/22,16.2,,
1,7,CACO1,E09,cohort 1,2/14/22,,3/2/22,,3/11/22,18,,
2,6,CAAN2,G05,cohort 5,2/21/22,,3/4/22,,3/11/22,11.9,5/23/22,
2,14,CAIN4,A05,cohort 3,2/16/22,,3/4/22,,3/11/22,14.6,5/23/22,
1,11,CAIN3,C07,cohort 3,2/11/22,,3/4/22,,3/11/22,18.1,6/3/22,
1,14,CAAN1,G13,cohort 4,2/16/22,,,,3/11/22,6.1,,
2,4,STIN,F06,cohort 1,1/24/22,,1/31/22,,3/14/22,6.7,,
4,8,STIN,F08,cohort 1,1/24/22,,2/14/22,,3/14/22,7.6,,
2,8,CAAM,B02,cohort 1,1/31/22,,2/16/22,,3/14/22,23,,
4,8,STIN,D10,cohort 2,2/1/22,,2/18/22,,3/14/22,9.6,,
3,5,CAAN1,D12,cohort 4,2/16/22,,2/28/22,,3/14/22,6.7,,
3,9,CAAM,B08,cohort 3,3/11/22,5.3,3/25/22,9.8,3/14/22,11.6,,
4,9,CAAN1,C03,cohort 3,1/31/22,,2/14/22,,3/16/22,6.9,,
3,5,CAAN1,F06,cohort 2,1/31/22,,2/18/22,,3/16/22,7.1,,
3,13,CAIN3,G01,cohort 2,2/3/22,,2/18/22,,3/16/22,11,,
4,6,CAIN3,E01,cohort 1,1/31/22,,2/18/22,,3/16/22,17.5,,
4,9,CAAN1,A05,cohort 4,2/14/22,,2/28/22,,3/16/22,8,,
3,2,CAAN2,D10,cohort 4,2/11/22,,2/28/22,,3/16/22,8.6,4/27/22,
4,12,CAIN4,C07,cohort 1,2/1/22,,2/28/22,,3/16/22,13.6,5/18/22,
4,5,CAAM,E13,cohort 1,2/11/22,,3/2/22,,3/16/22,10.3,,
3,12,CAIN4,A01,cohort 3,2/11/22,,3/2/22,,3/16/22,13,,
1,11,CAIN3,B12,cohort 3,2/14/22,,3/2/22,,3/16/22,18.5,5/23/22,
1,2,STIN,G03,cohort 2,2/16/22,,3/4/22,,3/16/22,6.1,5/11/22,
1,12,CAAM,G03,cohort 2,2/21/22,,3/4/22,,3/16/22,11.4,,
2,6,CAAN2,A07,cohort 4,2/18/22,,3/4/22,,3/16/22,11.6,,
3,2,CAAN2,C13,cohort 4,2/18/22,,3/4/22,,3/16/22,13.7,,
4,6,CAIN3,C01,cohort 3,2/14/22,,3/4/22,,3/16/22,19.4,,
3,2,CAAN2,B14,cohort 4,2/18/22,,3/7/22,,3/16/22,7.6,,
3,9,CAAM,A01,cohort 1,2/16/22,,3/7/22,,3/16/22,11.2,,
1,14,CAAN1,F02,cohort 1,2/21/22,,3/7/22,,3/16/22,11.4,,
3,9,CAAM,F14,cohort 2,2/16/22,,3/7/22,,3/16/22,22.1,,
1,14,CAAN1,C07,cohort 3,2/21/22,,3/9/22,8.7,3/16/22,9.1,5/11/22,
4,10,CAAN2,C07,cohort 4,3/2/22,,3/9/22,8.2,3/16/22,10,,
4,10,CAAN2,G05,cohort 4,3/2/22,,3/9/22,8,3/16/22,11,,
3,13,CAIN3,D02,cohort 3,2/16/22,,3/9/22,12,3/16/22,12.2,4/27/22,
2,1,CACO1,E03,cohort 1,2/18/22,,3/11/22,15.1,3/16/22,18.6,,
2,4,STIN,G03,cohort 2,2/1/22,,3/2/22,,3/18/22,7.6,5/11/22,
2,4,STIN,B08,cohort 3,2/14/22,,3/4/22,,3/18/22,10.1,,
3,1,STIN,A13,cohort 2,2/16/22,,3/11/22,6.4,3/18/22,6.7,,
1,12,CAAM,G07,cohort 2,2/16/22,,3/4/22,,3/21/22,10.7,,
3,1,STIN,F02,cohort 3,2/18/22,,3/9/22,9.2,3/21/22,10.2,,
4,4,CACO1,E11,cohort 1,2/18/22,,3/9/22,12.3,3/21/22,14.6,,
4,4,CACO1,D10,cohort 1,2/18/22,,3/11/22,14.5,3/21/22,14.7,,
4,4,CACO1,C11,cohort 3,2/21/22,,3/11/22,15.5,3/21/22,18.4,,
1,2,STIN,D02,cohort 2,2/11/22,,2/28/22,,3/23/22,8.5,5/11/22,
2,9,CAAN1,B12,cohort 5,3/14/22,,3/9/22,9.6,3/23/22,13.9,5/23/22,
3,1,STIN,G11,cohort 2,2/18/22,,3/11/22,7.1,3/23/22,7.8,,
4,4,CACO1,A11,cohort 2,2/16/22,,3/11/22,10.2,3/23/22,10.7,,
4,12,CAIN4,B06,cohort 2,2/16/22,,3/14/22,11.4,3/23/22,12.7,5/18/22,
1,1,CAAN2,D14,cohort 5,3/7/22,,3/16/22,13.3,3/23/22,15.2,5/11/22,
2,8,CAAM,B04,cohort 2,3/2/22,,,,3/23/22,12.2,,
3,8,STDI,F10,cohort 1,2/1/22,,2/18/22,,3/25/22,40.9,,
4,9,CAAN1,F04,cohort 4,2/3/22,,2/28/22,,3/25/22,8.1,,
1,2,STIN,F14,cohort 2,2/11/22,,3/2/22,,3/25/22,8.3,,
2,3,CAIN3,G05,cohort 1,2/7/22,,3/2/22,,3/25/22,12.7,5/13/22,
1,13,CAIN4,A01,cohort 3,2/16/22,,3/7/22,,3/25/22,16,4/25/22,
1,12,CAAM,D04,cohort 2,2/16/22,,3/7/22,,3/25/22,16.3,,
2,1,CACO1,C07,cohort 2,2/18/22,,3/7/22,,3/25/22,20.5,,
2,6,CAAN2,G13,cohort 1,2/21/22,,3/9/22,8.3,3/25/22,12.8,,
2,8,CAAM,C03,cohort 2,3/2/22,,3/9/22,13.1,3/25/22,16.8,5/11/22,
2,4,STIN,C13,cohort 2,2/18/22,,3/11/22,8,3/25/22,8.1,5/23/22,
1,11,CAIN3,E07,cohort 4,2/21/22,,3/11/22,13.8,3/25/22,13.8,5/23/22,
2,6,CAAN2,E11,cohort 5,3/4/22,,3/14/22,10,3/25/22,10.1,5/11/22,
1,7,CACO1,A13,cohort 1,2/25/22,,3/14/22,11,3/25/22,11.2,,
1,13,CAIN4,G07,cohort 2,2/16/22,,3/14/22,17.9,3/25/22,18.1,4/25/22,
3,12,CAIN4,B04,cohort 3,2/16/22,,3/14/22,18.5,3/25/22,18.5,,
1,7,CACO1,F04,cohort 4,3/2/22,,3/14/22,16.2,3/25/22,18.9,5/23/22,
1,13,CAIN4,D08,cohort 2,2/16/22,,3/14/22,19.4,3/25/22,20.2,5/1/22,
3,12,CAIN4,F08,cohort 4,2/28/22,,3/14/22,20.4,3/25/22,24.5,,
2,9,CAAN1,D08,cohort 4,3/7/22,,3/16/22,7.4,3/25/22,7.4,,
2,1,CACO1,D12,cohort 3,3/2/22,,3/16/22,10.2,3/25/22,11.8,,
2,1,CACO1,C05,cohort 1,3/2/22,,3/16/22,11.6,3/25/22,13,,
1,12,CAAM,F08,cohort 2,2/21/22,,3/16/22,14.5,3/25/22,14.2,,
3,9,CAAM,B14,cohort 4,3/2/22,,3/16/22,,3/25/22,14.5,,
2,1,CACO1,D04,cohort 3,3/2/22,,3/16/22,14.2,3/25/22,14.6,,
3,9,CAAM,D10,cohort 2,2/21/22,,3/16/22,14.1,3/25/22,15.4,,
1,7,CACO1,G01,cohort 1,3/2/22,,3/16/22,15.9,3/25/22,17.7,,
2,1,CACO1,B08,cohort 4,2/25/22,,3/16/22,18.4,3/25/22,20.6,5/23/22,
1,12,CAAM,E09,cohort 5,3/4/22,,3/18/22,19.6,3/25/22,22.1,,
2,1,CACO1,F08,cohort 4,3/7/22,,3/21/22,15.6,3/25/22,16.4,,
2,14,CAIN4,G03,cohort 5,3/7/22,,3/21/22,17.4,3/25/22,18.8,5/23/22,
1,12,CAAM,C11,cohort 3,3/16/22,5.1,3/23/22,9.9,3/25/22,6.9,,4/22 added green pick
1,12,CAAM,A09,cohort 5,3/7/22,,3/23/22,20.9,3/25/22,21.1,,
1,7,CACO1,B02,cohort 1,1/27/22,,2/14/22,9.6,3/28/22,10.6,5/23/22,3/28 has green pick but no record
1,13,CAIN4,B12,cohort 1,2/1/22,,2/23/22,,3/28/22,13.5,5/23/22,added fruit pick 4/13
2,4,STIN,F08,cohort 2,2/7/22,,2/25/22,,3/28/22,7,5/11/22,
2,8,CAAM,A03,cohort 1,2/11/22,,3/2/22,,3/28/22,13.9,5/23/22,
1,14,CAAN1,C11,cohort 2,2/18/22,,3/4/22,,3/28/22,5.5,5/23/22,
1,12,CAAM,B02,cohort 2,2/16/22,,3/4/22,,3/28/22,15.2,,
4,8,STIN,G13,cohort 2,2/16/22,,3/7/22,,3/28/22,7.4,,
1,14,CAAN1,E13,cohort 4,2/21/22,,3/9/22,8.2,3/28/22,8.5,,
4,8,STIN,E05,cohort 2,2/16/22,,3/11/22,7.1,3/28/22,7.2,,
2,4,STIN,F14,cohort 3,2/18/22,,3/11/22,8.8,3/28/22,9,,
4,8,STIN,D02,cohort 3,3/2/22,,3/11/22,8,3/28/22,10.1,,
1,7,CACO1,A05,cohort 4,2/21/22,,3/11/22,13.6,3/28/22,14,,
1,14,CAAN1,C03,cohort 5,3/4/22,,3/14/22,6.1,3/28/22,6.5,5/25/22,missing 5/25
3,1,STIN,E09,cohort 3,2/21/22,,3/14/22,7.9,3/28/22,8.1,,
1,2,STIN,F06,cohort 3,2/21/22,,3/14/22,9,3/28/22,9.4,5/11/22,
1,7,CACO1,A03,cohort 4,2/21/22,,3/14/22,12.1,3/28/22,12.9,,
1,1,CAAN2,E13,cohort 5,3/2/22,,3/14/22,13.6,3/28/22,20.2,,
2,4,STIN,B14,cohort 3,2/25/22,,3/16/22,8.3,3/28/22,8.5,,
1,2,STIN,B08,cohort 4,2/28/22,,3/16/22,9.8,3/28/22,9.5,5/13/22,8.0 cm at death
2,3,CAIN3,D06,cohort 1,2/7/22,,3/16/22,,3/28/22,12,5/23/22,
4,5,CAAM,F10,cohort 4,3/4/22,,3/16/22,11.4,3/28/22,13.2,,
4,4,CACO1,B08,cohort 2,2/23/22,,3/18/22,9.3,3/28/22,10.8,,
2,4,STIN,C03,cohort 3,3/4/22,,3/21/22,8.4,3/28/22,8.2,,
2,8,CAAM,D06,cohort 4,3/4/22,,3/21/22,8.7,3/28/22,8.4,,
2,8,CAAM,A05,cohort 3,3/2/22,,3/21/22,9.1,3/28/22,8.6,,
3,14,CACO1,C03,cohort 3,3/4/22,,3/21/22,11.2,3/28/22,11.2,,
2,8,CAAM,G05,cohort 5,3/7/22,,3/21/22,15.4,3/28/22,15,5/23/22,
2,1,CACO1,E11,cohort 4,3/7/22,,3/21/22,16.1,3/28/22,17.7,,
2,1,CACO1,E13,cohort 4,3/7/22,,3/21/22,17.4,3/28/22,18.4,,
4,5,CAAM,B14,cohort 5,3/7/22,,3/21/22,18.9,3/28/22,20.9,,
4,5,CAAM,E01,cohort 4,3/4/22,,3/21/22,18.8,3/28/22,21.2,,
1,12,CAAM,E07,cohort 4,3/4/22,,3/23/22,12.7,3/28/22,12.5,,
2,1,CACO1,C11,cohort 5,3/16/22,11.1,3/25/22,17.3,3/28/22,17.2,,
1,7,CACO1,C03,cohort 5,3/11/22,9.6,3/25/22,19.6,3/28/22,19.4,,
2,4,STIN,A09,cohort 5,3/11/22,5.6,,,3/28/22,7.5,5/25/22,
2,3,CAIN3,A07,cohort 2,,,,,3/28/22,9.2,5/11/22,
2,3,CAIN3,F06,cohort 3,3/14/22,,,,3/28/22,11.7,5/23/22,
3,1,STIN,D12,cohort 1,1/10/22,,1/24/22,,3/30/22,8.1,,green pick present but no date recorded 3/30
4,9,CAAN1,D10,cohort 1,1/24/22,,2/9/22,,3/30/22,8.6,4/27/22,
3,2,CAAN2,D04,cohort 1,2/11/22,,2/23/22,,3/30/22,8.1,,green pick but not recorded 3/30
2,9,CAAN1,F02,cohort 3,2/14/22,,3/4/22,,3/30/22,6,5/11/22,
4,8,STIN,G11,cohort 2,3/2/22,,3/7/22,,3/30/22,6.1,,
2,4,STIN,G09,cohort 2,2/21/22,,3/11/22,6.1,3/30/22,7.5,,
3,13,CAIN3,C11,cohort 4,3/7/22,,3/14/22,14.3,3/30/22,15.2,,
4,5,CAAM,F14,cohort 2,,,3/15/22,10.6,3/30/22,10.7,,
2,14,CAIN4,B04,cohort 3,2/21/22,,3/15/22,12.3,3/30/22,12.5,,
4,8,STIN,G05,cohort 3,3/2/22,,3/16/22,7,3/30/22,8.8,,
4,4,CACO1,F08,cohort 2,3/4/22,,3/16/22,12.9,3/30/22,12.4,,
2,14,CAIN4,C09,cohort 1,2/16/22,,3/16/22,16.9,3/30/22,15.6,,
3,2,CAAN2,B08,cohort 4,3/9/22,4,3/18/22,6.6,3/30/22,7.4,,
3,1,STIN,E01,cohort 3,2/28/22,,3/18/22,8.2,3/30/22,8.4,,
3,2,CAAN2,C01,cohort 5,3/9/22,4.1,3/18/22,10.1,3/30/22,13.8,,
4,8,STIN,A05,cohort 3,3/2/22,,3/21/22,7.8,3/30/22,7.4,,
3,5,CAAN1,A13,cohort 5,3/7/22,,3/21/22,8.9,3/30/22,8.8,,
3,9,CAAM,E11,cohort 2,3/16/22,13.1,3/21/22,10.5,3/30/22,10.6,,
3,14,CACO1,E09,cohort 4,3/9/22,6.1,3/21/22,11.8,3/30/22,12,,
4,12,CAIN4,C01,cohort 4,3/4/22,,3/21/22,16.4,3/30/22,16.2,,
3,9,CAAM,E13,cohort 5,3/14/22,11.2,3/25/22,20.2,3/30/22,20.2,,
4,4,CACO1,D08,cohort 4,3/7/22,,,,3/30/22,14.3,,
1,13,CAIN4,E09,cohort 1,1/31/22,,2/16/22,13,4/1/22,13,5/23/22,
2,4,STIN,G05,cohort 3,2/21/22,,3/11/22,7.2,4/1/22,7.9,,
1,14,CAAN1,F12,cohort 1,3/4/22,,3/14/22,4.8,4/1/22,4.9,,
2,14,CAIN4,E07,cohort 1,2/1/22,,3/14/22,13.3,4/1/22,11.8,5/11/22,
4,10,CAAN2,B06,cohort 3,3/1/22,4.6,3/16/22,5,4/1/22,5.9,,
1,11,CAIN3,A03,cohort 4,2/21/22,,3/16/22,11.6,4/1/22,12.3,5/23/22,
4,4,CACO1,A05,cohort 3,3/4/22,,3/16/22,11,4/1/22,15,,
2,9,CAAN1,C09,cohort 1,3/7/22,,3/18/22,3.7,4/1/22,4.1,,
2,9,CAAN1,B14,cohort 5,3/11/22,2.5,3/21/22,4.3,4/1/22,4.4,,
2,4,STIN,A03,cohort 3,3/2/22,,3/21/22,7.2,4/1/22,7.4,5/23/22,
4,8,STIN,D06,cohort 4,3/9/22,4,3/21/22,7.4,4/1/22,8,,
1,2,STIN,E11,cohort 3,3/4/22,,3/21/22,7.6,4/1/22,8.3,5/11/22,
2,14,CAIN4,F10,cohort 4,3/4/22,,3/21/22,11.4,4/1/22,11.4,5/23/22,
1,12,CAAM,F14,cohort 2,3/4/22,,3/23/22,11.5,4/1/22,11.5,5/23/22,
1,11,CAIN3,C01,cohort 5,3/9/22,5,3/23/22,14.6,4/1/22,14.9,,added green pick 4/22
4,4,CACO1,B14,cohort 4,3/14/22,8.1,3/23/22,13.6,4/1/22,15.7,,
1,13,CAIN4,A09,cohort 5,3/9/22,6.2,3/23/22,18.1,4/1/22,19.3,5/23/22,
2,1,CACO1,A07,cohort 5,3/16/22,6.6,3/25/22,12.9,4/1/22,12.9,,
1,13,CAIN4,C13,cohort 5,3/16/22,7.4,3/25/22,12.4,4/1/22,12.9,5/11/22,
1,14,CAAN1,D04,cohort 5,3/23/22,3.2,3/28/22,5.4,4/1/22,6.6,5/23/22,
1,7,CACO1,A11,cohort 5,3/18/22,8.6,3/28/22,13.1,4/1/22,13.6,,
4,10,CAAN2,C11,cohort 1,1/31/22,,2/18/22,,4/4/22,8.4,,
4,9,CAAN1,B14,cohort 1,2/11/22,,2/25/22,,4/4/22,4.9,,
1,12,CAAM,B08,cohort 3,2/16/22,,3/7/22,10.2,4/4/22,10.5,,
4,8,STIN,F12,cohort 2,3/4/22,,3/16/22,5.9,4/4/22,7.2,,
4,10,CAAN2,G01,cohort 5,,,3/16/22,13,4/4/22,18.6,,
1,2,STIN,D08,cohort 2,3/4/22,,3/18/22,7.1,4/4/22,6.6,5/23/22,
4,4,CACO1,A03,cohort 5,2/3/22,,3/18/22,11.2,4/4/22,23.9,,
1,1,CAAN2,C07,cohort 1,2/21/22,,3/21/22,4.1,4/4/22,4.1,,
