Pop,Bench,Block,Position,Cohort,Census Date,Flower/Bud Count,Mature Fruit Count,Pedicel Count,STTO-BH Height (cm),Notes (AC = Already Collected Plant)
CAAN2,1,1,D14,cohort 5,6/22/22,,,,,AC
CAAN2,1,1,E01,cohort 4,6/22/22,,,,,NO PLANT
CAAN2,1,1,E03,cohort 6,6/22/22,,,,,NO PLANT
CAAN2,1,1,E05,cohort 3,6/22/22,,,,,NO PLANT
CAAN2,1,1,E07,cohort 1,6/22/22,,,,,AC
CAAN2,1,1,E09,cohort 4,6/22/22,,,,,NO PLANT
CAAN2,1,1,E11,cohort 3,6/22/22,,,,,NO PLANT
CAAN2,1,1,E13,cohort 5,6/22/22,,,,,AC
CAAN2,1,1,F02,cohort 7,6/22/22,,,,,DIED
CAAN2,1,1,F04,cohort 8,6/22/22,N/A,N/A,N/A,N/A,NO PLANT
CAAN2,1,1,F06,cohort 8,6/22/22,N/A,N/A,N/A,N/A,NO PLANT
CAAN2,1,1,F08,cohort 6,6/22/22,,,,,NO PLANT
CAAN2,1,1,F10,cohort 7,6/22/22,,,,,NO PLANT
CAAN2,1,1,F12,cohort 7,6/22/22,,,,,NO PLANT
CAAN2,1,1,F14,cohort 5,6/22/22,,,,,AC
CAAN2,1,1,G01,cohort 7,6/22/22,,,,,NO PLANT
CAAN2,1,1,G03,cohort 3,6/22/22,,,,,NO PLANT
CAAN2,1,1,G05,cohort 2,6/22/22,,,,,AC
CAAN2,1,1,G07,cohort 8,6/22/22,N/A,N/A,N/A,N/A,NO PLANT
CAAN2,1,1,G09,cohort 5,6/22/22,,,,,NO PLANT
CAAN2,1,1,G13,cohort 8,6/22/22,N/A,N/A,N/A,N/A,NO PLANT
STIN,1,2,A01,cohort 4,6/22/22,,,,,AC
STIN,1,2,A03,cohort 7,6/22/22,0,1,4,N/A,Dried
STIN,1,2,A05,cohort 6,6/22/22,,,,,AC
STIN,1,2,A07,cohort 8,6/22/22,1,0,2,,Dried
STIN,1,2,A09,cohort 1,6/22/22,,,,,AC
STIN,1,2,A11,cohort 7,6/22/22,0,1,2,,
STIN,1,2,A13,cohort 5,6/22/22,,,,,AC
STIN,1,2,B02,cohort 7,6/22/22,,,,,AC
STIN,1,2,B04,cohort 5,6/22/22,0,4,21,,
STIN,1,2,B06,cohort 1,6/22/22,,,,,AC
STIN,1,2,B08,cohort 4,6/22/22,,,,,AC
STIN,1,2,B10,cohort 5,6/22/22,0,0,7,,
STIN,1,2,B12,cohort 4,6/22/22,,,,,AC
STIN,1,2,B14,cohort 1,6/22/22,,,,,AC
STIN,1,2,C01,cohort 6,6/22/22,0,1,1,,
STIN,1,2,C03,cohort 3,6/22/22,,,,,AC
STIN,1,2,C05,cohort 4,6/22/22,,,,,AC
STIN,1,2,C07,cohort 4,6/22/22,,,,,AC
STIN,1,2,C09,cohort 8,6/22/22,0,0,4,,
STIN,1,2,C11,cohort 6,6/22/22,0,0,1,,
STIN,1,2,C13,cohort 3,6/22/22,,,,,AC
STIN,1,2,D02,cohort 2,6/22/22,,,,,AC
STIN,1,2,D04,cohort 7,6/22/22,0,1,4,,
STIN,1,2,D06,cohort 6,6/22/22,,,,,AC
STIN,1,2,D08,cohort 2,6/22/22,,,,,AC
STIN,1,2,D10,cohort 1,6/22/22,,,,,AC
STIN,1,2,D14,cohort 1,6/22/22,,,,,AC
STIN,1,2,E01,cohort 6,6/22/22,,,,,AC
STIN,1,2,E03,cohort 8,6/22/22,2,1,6,,
STIN,1,2,E05,cohort 3,6/22/22,N/A,N/A,N/A,N/A,No plant (died)
STIN,1,2,E07,cohort 5,6/22/22,0,2,3,,
STIN,1,2,E09,cohort 8,6/22/22,0,0,0,,
STIN,1,2,E11,cohort 3,6/22/22,,,,,AC
STIN,1,2,E13,cohort 8,6/22/22,1,1,0,,
STIN,1,2,F02,cohort 7,6/22/22,0,0,1,,
STIN,1,2,F04,cohort 1,6/22/22,,,,,AC
STIN,1,2,F06,cohort 3,6/22/22,,,,,AC
STIN,1,2,F08,cohort 6,6/22/22,0,0,4,,
STIN,1,2,F10,cohort 2,6/22/22,,,,,AC
STIN,1,2,F12,cohort 3,6/22/22,,,,,AC
STIN,1,2,F14,cohort 2,6/22/22,0,1,12,,
STIN,1,2,G01,cohort 8,6/22/22,1,3,3,,
STIN,1,2,G03,cohort 2,6/22/22,,,,,AC
STIN,1,2,G05,cohort 5,6/22/22,0,0,3,,
STIN,1,2,G07,cohort 2,6/22/22,,,,,AC
STIN,1,2,G09,cohort 7,6/22/22,N/A,N/A,N/A,N/A,NO PLANT
STIN,1,2,G11,cohort 5,6/22/22,,,,,AC
STIN,1,2,G13,cohort 4,6/22/22,,,,,AC
STPO,1,3,A01,cohort 5,6/22/22,2,0,0,,Flowers are dry
STPO,1,3,A03,cohort 6,6/22/22,0,0,2,,
STPO,1,3,A05,cohort 7,6/22/22,N/A,N/A,N/A,N/A,NO PLANT
STPO,1,3,A07,cohort 1,6/22/22,,,,,AC
STPO,1,3,A09,cohort 2,6/22/22,0,2,1,,
STPO,1,3,A11,cohort 4,6/22/22,0,0,4,,
STPO,1,3,A13,cohort 5,6/22/22,0,1,7,,
STPO,1,3,B02,cohort 5,6/22/22,0,0,0,,
STPO,1,3,B04,cohort 1,6/22/22,,,,,AC
STPO,1,3,B08,cohort 8,6/22/22,N/A,N/A,N/A,N/A,DEAD
STPO,1,3,B10,cohort 8,6/22/22,N/A,N/A,N/A,N/A,DEAD
STPO,1,3,B12,cohort 4,6/22/22,0,0,2,,
STPO,1,3,B14,cohort 3,6/22/22,0,2,3,,
STPO,1,3,C01,cohort 8,6/22/22,0,0,0,,DEAD
STPO,1,3,C03,cohort 3,6/22/22,4,0,5,,
STPO,1,3,C05,cohort 4,6/22/22,,,,,NO PLANT
STPO,1,3,C07,cohort 2,6/22/22,0,2,1,,
STPO,1,3,C09,cohort 3,6/22/22,2,4,2,,
STPO,1,3,C11,cohort 2,6/22/22,0,0,4,,
STPO,1,3,C13,cohort 4,6/22/22,,,,,NO PLANT
STPO,1,3,D02,cohort 7,6/22/22,N/A,N/A,N/A,N/A,DEAD
STPO,1,3,D04,cohort 5,6/22/22,N/A,N/A,N/A,N/A,DEAD
STPO,1,3,D06,cohort 6,6/22/22,0,0,4,,
STPO,1,3,D08,cohort 6,6/22/22,0,0,2,,
STPO,1,3,D10,cohort 4,6/22/22,,,,,NO PLANT
STPO,1,3,D12,cohort 7,6/22/22,N/A,N/A,N/A,N/A,DEAD
STPO,1,3,D14,cohort 8,6/22/22,N/A,N/A,N/A,N/A,DEAD
STPO,1,3,E01,cohort 7,6/22/22,,,,,NO PLANT
STPO,1,3,E03,cohort 3,6/22/22,3,0,9,,
STPO,1,3,E05,cohort 6,6/22/22,N/A,N/A,N/A,N/A,DEAD
STPO,1,3,E07,cohort 4,6/22/22,,,,,NO PLANT
STPO,1,3,E09,cohort 1,6/22/22,,,,,ON SHORT SEASON BENCH-AC
STPO,1,3,E11,cohort 5,6/22/22,,,,,NO PLANT
STPO,1,3,E13,cohort 6,6/22/22,N/A,N/A,N/A,N/A,DEAD
STPO,1,3,F02,cohort 1,6/22/22,0,0,4,,
STPO,1,3,F04,cohort 3,6/22/22,N/A,N/A,N/A,N/A,DEAD
STPO,1,3,F06,cohort 1,6/22/22,,,,,ON SHORT SEASON BENCH-AC
STPO,1,3,F08,cohort 7,6/22/22,,,,,NO PLANT
STPO,1,3,F10,cohort 8,6/22/22,N/A,N/A,N/A,N/A,NO PLANT
STPO,1,3,F12,cohort 2,6/22/22,,,,,AC
STPO,1,3,F14,cohort 7,6/22/22,,,,,NO PLANT
STPO,1,3,G01,cohort 5,6/22/22,,,,,NO PLANT
STPO,1,3,G03,cohort 1,6/22/22,,,,,AC
STPO,1,3,G05,cohort 2,6/22/22,N/A,N/A,N/A,N/A,DEAD
STPO,1,3,G07,cohort 2,6/22/22,0,0,4,,
STPO,1,3,G09,cohort 3,6/22/22,0,4,6,,
STPO,1,3,G11,cohort 6,6/22/22,0,0,4,,
STPO,1,3,G13,cohort 8,6/22/22,N/A,N/A,N/A,N/A,NO PLANT
STGL1,1,4,A01,cohort 4,6/22/22,,,,,AC
STGL1,1,4,A03,cohort 6,6/22/22,N/A,N/A,N/A,N/A,DEAD
STGL1,1,4,A05,cohort 4,6/22/22,0,5,3,,
STGL1,1,4,A07,cohort 8,6/22/22,N/A,N/A,N/A,N/A,NO PLANT
STGL1,1,4,A09,cohort 2,6/22/22,0,0,0,,
STGL1,1,4,A11,cohort 3,6/22/22,0,0,2,,
STGL1,1,4,A13,cohort 1,6/22/22,0,1,2,,
STGL1,1,4,B02,cohort 7,6/22/22,,,,,NO PLANT
STGL1,1,4,B04,cohort 7,6/22/22,,,,,NO PLANT
STGL1,1,4,B06,cohort 4,6/22/22,,,,,NO PLANT
STGL1,1,4,B08,cohort 1,6/22/22,,,,,ON SHORT SEASON BENCH-AC
STGL1,1,4,B10,cohort 1,6/22/22,N/A,N/A,N/A,N/A,NO PLANT
STGL1,1,4,B12,cohort 5,6/22/22,0,1,1,,
STGL1,1,4,B14,cohort 8,6/22/22,N/A,N/A,N/A,N/A,NO PLANT
STGL1,1,4,C01,cohort 2,6/22/22,,,,,NO PLANT
STGL1,1,4,C03,cohort 7,6/22/22,,,,,NO PLANT
STGL1,1,4,C05,cohort 8,6/22/22,N/A,N/A,N/A,N/A,NO PLANT
STGL1,1,4,C07,cohort 2,6/22/22,2,0,2,,
STGL1,1,4,C09,cohort 5,6/22/22,1,1,0,,
STGL1,1,4,C11,cohort 4,6/22/22,,,,,NO PLANT
STGL1,1,4,C13,cohort 5,6/22/22,1,1,3,,
STGL1,1,4,D02,cohort 3,6/22/22,2,0,2,,
STGL1,1,4,D04,cohort 4,6/22/22,0,1,2,,
STGL1,1,4,D06,cohort 5,6/22/22,1,1,0,,
STGL1,1,4,D08,cohort 3,6/22/22,1,2,3,,
STGL1,1,4,D10,cohort 5,6/22/22,,,,,NO PLANT
STGL1,1,4,D12,cohort 3,6/22/22,N/A,N/A,N/A,N/A,DEAD
STGL1,1,4,D14,cohort 1,6/22/22,,,,,ON SHORT SEASON BENCH-AC
STGL1,1,4,E01,cohort 8,6/22/22,N/A,N/A,N/A,N/A,NO PLANT
STGL1,1,4,E03,cohort 6,6/22/22,,,,,NO PLANT
STGL1,1,4,E05,cohort 6,6/22/22,,,,,NO PLANT
STGL1,1,4,E07,cohort 6,6/22/22,,,,,NO PLANT
STGL1,1,4,E09,cohort 6,6/22/22,,,,,NO PLANT
STGL1,1,4,E11,cohort 1,6/22/22,0,1,1,,
STGL1,1,4,E13,cohort 3,6/22/22,,,,,NO PLANT
STGL1,1,4,F02,cohort 7,6/22/22,,,,,NO PLANT
STGL1,1,4,F04,cohort 8,6/22/22,N/A,N/A,N/A,N/A,NO PLANT
STGL1,1,4,F06,cohort 4,6/22/22,2,0,2,,
STGL1,1,4,F08,cohort 2,6/22/22,,,,,NO PLANT
STGL1,1,4,F10,cohort 7,6/22/22,,,,,NO PLANT
STGL1,1,4,F12,cohort 2,6/22/22,N/A,N/A,N/A,N/A,DEAD
STGL1,1,4,F14,cohort 5,6/22/22,,,,,NO PLANT
STGL1,1,4,G01,cohort 7,6/22/22,,,,,NO PLANT
STGL1,1,4,G03,cohort 2,6/22/22,3,3,14,,
STGL1,1,4,G05,cohort 3,6/22/22,,,,,NO PLANT
STGL1,1,4,G09,cohort 6,6/22/22,,,,,NO PLANT
STGL1,1,4,G11,cohort 8,6/22/22,N/A,N/A,N/A,N/A,NO PLANT
STGL1,1,4,G13,cohort 1,6/22/22,,,,,ON SHORT SEASON BENCH-AC
STDR2,1,5,A01,cohort 6,6/22/22,0,1,2,,
STDR2,1,5,A03,cohort 3,6/22/22,0,2,0,,
STDR2,1,5,A05,cohort 3,6/22/22,,,,,AC
STDR2,1,5,A07,cohort 2,6/22/22,0,1,1,,
STDR2,1,5,A09,cohort 3,6/22/22,0,1,1,,
STDR2,1,5,A11,cohort 6,6/22/22,0,2,1,,
STDR2,1,5,A13,cohort 4,6/22/22,0,1,2,,
STDR2,1,5,B02,cohort 3,6/22/22,0,1,1,,
STDR2,1,5,B04,cohort 8,6/22/22,N/A,N/A,N/A,N/A,NO PLANT
STDR2,1,5,B06,cohort 7,6/22/22,,,,,NO PLANT
STDR2,1,5,B08,cohort 1,6/22/22,,,,,ON SHORT SEASON BENCH-AC
STDR2,1,5,B10,cohort 1,6/22/22,0,0,5,,
STDR2,1,5,B12,cohort 8,6/22/22,N/A,N/A,N/A,N/A,NO PLANT
STDR2,1,5,B14,cohort 4,6/22/22,0,1,2,,
STDR2,1,5,C01,cohort 2,6/22/22,,,,,AC
STDR2,1,5,C03,cohort 4,6/22/22,0,0,4,,
STDR2,1,5,C05,cohort 4,6/22/22,0,1,2,,
STDR2,1,5,C09,cohort 7,6/22/22,,,,,NO PLANT
STDR2,1,5,C11,cohort 8,6/22/22,N/A,N/A,N/A,N/A,NO PLANT
STDR2,1,5,C13,cohort 1,6/22/22,,,,,AC
STDR2,1,5,D02,cohort 2,6/22/22,0,0,6,,
STDR2,1,5,D04,cohort 8,6/22/22,N/A,N/A,N/A,N/A,NO PLANT
STDR2,1,5,D06,cohort 5,6/22/22,1,2,1,,
STDR2,1,5,D08,cohort 4,6/22/22,0,1,6,,
STDR2,1,5,D10,cohort 5,6/22/22,0,2,1,,
STDR2,1,5,D12,cohort 8,6/22/22,N/A,N/A,N/A,N/A,NO PLANT
STDR2,1,5,D14,cohort 8,6/22/22,N/A,N/A,N/A,N/A,NO PLANT
STDR2,1,5,E01,cohort 7,6/22/22,0,1,1,,NO PLANT
STDR2,1,5,E03,cohort 7,6/22/22,,,,,NO PLANT
STDR2,1,5,E05,cohort 3,6/22/22,N/A,N/A,N/A,N/A,NO PLANT
STDR2,1,5,E07,cohort 2,6/22/22,,,,,AC
STDR2,1,5,E09,cohort 6,6/22/22,0,1,3,,
STDR2,1,5,E11,cohort 4,6/22/22,,,,,AC
STDR2,1,5,E13,cohort 7,6/22/22,,,,,NO PLANT
STDR2,1,5,F02,cohort 5,6/22/22,0,1,2,,
STDR2,1,5,F04,cohort 2,6/22/22,0,1,1,,
STDR2,1,5,F06,cohort 1,6/22/22,,,,,AC
STDR2,1,5,F08,cohort 5,6/22/22,0,1,2,,
STDR2,1,5,F10,cohort 1,6/22/22,,,,,AC
STDR2,1,5,F12,cohort 5,6/22/22,0,1,2,,
STDR2,1,5,F14,cohort 6,6/22/22,,,,,NO PLANT
STDR2,1,5,G01,cohort 6,6/22/22,,,,,NO PLANT
STDR2,1,5,G03,cohort 5,6/22/22,0,1,1,,
STDR2,1,5,G05,cohort 6,6/22/22,,,,,NO PLANT
STDR2,1,5,G07,cohort 7,6/22/22,,,,,NO PLANT
STDR2,1,5,G09,cohort 1,6/22/22,,,,,AC
STDR2,1,5,G11,cohort 3,6/22/22,,,,,NO PLANT
STDR2,1,5,G13,cohort 2,6/22/22,,,,,AC
STTO_TM2,1,6,A01,cohort 7,6/22/22,N/A,N/A,N/A,N/A,DIED
STTO_TM2,1,6,A03,cohort 2,6/22/22,,,,,NO PLANT
STTO_TM2,1,6,A05,cohort 8,6/22/22,,,,,AC
STTO_TM2,1,6,A07,cohort 5,6/22/22,N/A,N/A,N/A,N/A,DEAD
STTO_TM2,1,6,A09,cohort 1,6/22/22,,,,,NO PLANT
STTO_TM2,1,6,A11,cohort 1,6/22/22,1,3,0,,
STTO_TM2,1,6,A13,cohort 1,6/22/22,0,1,3,,
STTO_TM2,1,6,B02,cohort 4,6/22/22,0,2,1,,
STTO_TM2,1,6,B04,cohort 5,6/22/22,0,0,0,,
STTO_TM2,1,6,B06,cohort 5,6/22/22,,,,,NO PLANT
STTO_TM2,1,6,B08,cohort 1,6/22/22,,,,,ON SHORT SEASON BENCH-AC
STTO_TM2,1,6,B10,cohort 4,6/22/22,1,3,1,,
STTO_TM2,1,6,B12,cohort 4,6/22/22,0,0,0,,
STTO_TM2,1,6,B14,cohort 1,6/22/22,,,,,NO PLANT
STTO_TM2,1,6,C01,cohort 2,6/22/22,0,0,0,,
STTO_TM2,1,6,C03,cohort 6,6/22/22,0,0,0,,
STTO_TM2,1,6,C05,cohort 6,6/22/22,N/A,N/A,N/A,N/A,NO PLANT
STTO_TM2,1,6,C07,cohort 6,6/22/22,,,,,NO PLANT
STTO_TM2,1,6,C09,cohort 4,6/22/22,0,0,19,,
STTO_TM2,1,6,C11,cohort 4,6/22/22,,,,,NO PLANT
STTO_TM2,1,6,C13,cohort 4,6/22/22,,,,,NO PLANT
STTO_TM2,1,6,D02,cohort 6,6/22/22,,,,,NO PLANT
STTO_TM2,1,6,D04,cohort 2,6/22/22,0,2,0,,
STTO_TM2,1,6,D06,cohort 3,6/22/22,0,1,1,,
STTO_TM2,1,6,D08,cohort 8,6/22/22,N/A,N/A,N/A,N/A,NO PLANT
STTO_TM2,1,6,D10,cohort 5,6/22/22,,,,,NO PLANT
STTO_TM2,1,6,D12,cohort 2,6/22/22,0,0,0,,
STTO_TM2,1,6,D14,cohort 3,6/22/22,0,0,0,,
STTO_TM2,1,6,E01,cohort 2,6/22/22,0,0,0,,
STTO_TM2,1,6,E03,cohort 8,6/22/22,N/A,N/A,N/A,N/A,NO PLANT
STTO_TM2,1,6,E05,cohort 6,6/22/22,,,,,NO PLANT
STTO_TM2,1,6,E09,cohort 8,6/22/22,N/A,N/A,N/A,N/A,NO PLANT
STTO_TM2,1,6,E11,cohort 3,6/22/22,,,,,NO PLANT
STTO_TM2,1,6,E13,cohort 3,6/22/22,,,,,NO PLANT
STTO_TM2,1,6,F02,cohort 7,6/22/22,0,0,0,,
STTO_TM2,1,6,F04,cohort 5,6/22/22,,,,,NO PLANT
STTO_TM2,1,6,F06,cohort 3,6/22/22,,,,,NO PLANT
STTO_TM2,1,6,F08,cohort 6,6/22/22,,,,,NO PLANT
STTO_TM2,1,6,F10,cohort 3,6/22/22,,,,,NO PLANT
STTO_TM2,1,6,F12,cohort 7,6/22/22,,,,,NO PLANT
STTO_TM2,1,6,F14,cohort 5,6/22/22,,,,,NO PLANT
STTO_TM2,1,6,G01,cohort 2,6/22/22,,,,,NO PLANT
STTO_TM2,1,6,G03,cohort 7,6/22/22,,,,,NO PLANT
STTO_TM2,1,6,G05,cohort 1,6/22/22,0,2,1,,
STTO_TM2,1,6,G07,cohort 7,6/22/22,,,,,NO PLANT
STTO_TM2,1,6,G09,cohort 8,6/22/22,N/A,N/A,N/A,N/A,NO PLANT
STTO_TM2,1,6,G11,cohort 8,6/22/22,N/A,N/A,N/A,N/A,NO PLANT
STTO_TM2,1,6,G13,cohort 7,6/22/22,,,,,NO PLANT
CACO1,1,7,A01,cohort 5,6/22/22,,,,,AC
CACO1,1,7,A03,cohort 4,6/22/22,0,4,7,,
CACO1,1,7,A05,cohort 4,6/22/22,,,,,AC
CACO1,1,7,A07,cohort 8,6/22/22,N/A,N/A,N/A,N/A,NO PLANT
CACO1,1,7,A09,cohort 5,6/22/22,,,,,AC
CACO1,1,7,A11,cohort 5,6/22/22,,,,,AC
CACO1,1,7,A13,cohort 1,6/22/22,,,,,ON SHORT SEASON BENCH-AC
CACO1,1,7,B02,cohort 1,6/22/22,,,,,AC
CACO1,1,7,B04,cohort 3,6/22/22,,,,,AC
CACO1,1,7,B06,cohort 2,6/22/22,,,,,AC
CACO1,1,7,B08,cohort 7,6/22/22,,,,,DIED
CACO1,1,7,B10,cohort 8,6/22/22,N/A,N/A,N/A,N/A,NO PLANT
CACO1,1,7,B12,cohort 7,6/22/22,,,,,AC
CACO1,1,7,C01,cohort 6,6/22/22,,,,,AC
CACO1,1,7,C03,cohort 5,6/22/22,,,,,AC
CACO1,1,7,C05,cohort 3,6/22/22,,,,,AC
CACO1,1,7,C07,cohort 5,6/22/22,,,,,AC
CACO1,1,7,C09,cohort 3,6/22/22,0,0,1,,NO PLANT
CACO1,1,7,C11,cohort 7,6/22/22,,,,,NO PLANT
CACO1,1,7,C13,cohort 2,6/22/22,,,,,NO PLANT
CACO1,1,7,D02,cohort 3,6/22/22,,,,,AC
CACO1,1,7,D04,cohort 2,6/22/22,,,,,NO PLANT
CACO1,1,7,D06,cohort 7,6/22/22,,,,,NO PLANT
CACO1,1,7,D08,cohort 8,6/22/22,N/A,N/A,N/A,N/A,NO PLANT
CACO1,1,7,D10,cohort 4,6/22/22,,,,,AC
CACO1,1,7,D12,cohort 2,6/22/22,0,1,3,,
CACO1,1,7,D14,cohort 1,6/22/22,,,,,ON SHORT SEASON BENCH-AC
CACO1,1,7,E01,cohort 2,6/22/22,,,,,NO PLANT
CACO1,1,7,E03,cohort 7,6/22/22,,,,,NO PLANT
CACO1,1,7,E05,cohort 8,6/22/22,N/A,N/A,N/A,N/A,NO PLANT
CACO1,1,7,E07,cohort 7,6/22/22,,,,,NO PLANT
CACO1,1,7,E09,cohort 1,6/22/22,,,,,AC
CACO1,1,7,E11,cohort 8,6/22/22,N/A,N/A,N/A,N/A,NO PLANT
CACO1,1,7,E13,cohort 6,6/22/22,,,,,AC
CACO1,1,7,F02,cohort 6,6/22/22,,,,,AC
CACO1,1,7,F04,cohort 4,6/22/22,,,,,AC
CACO1,1,7,F06,cohort 8,6/22/22,N/A,N/A,N/A,N/A,NO PLANT
CACO1,1,7,F08,cohort 5,6/22/22,,,,,AC
CACO1,1,7,F10,cohort 4,6/22/22,,,,,NO PLANT
CACO1,1,7,F12,cohort 6,6/22/22,0,1,2,,
CACO1,1,7,F14,cohort 3,6/22/22,,,,,NO PLANT
CACO1,1,7,G01,cohort 1,6/22/22,,,,,AC
CACO1,1,7,G03,cohort 2,6/22/22,,,,,AC
CACO1,1,7,G05,cohort 3,6/22/22,,,,,NO PLANT
CACO1,1,7,G07,cohort 1,6/22/22,,,,,ON SHORT SEASON BENCH-AC
CACO1,1,7,G09,cohort 4,6/22/22,,,,,NO PLANT
CACO1,1,7,G11,cohort 6,6/22/22,,,,,NO PLANT
CACO1,1,7,G13,cohort 6,6/22/22,,,,,NO PLANT
STBR3,1,8,A01,cohort 7,6/22/22,,,,,AC
STBR3,1,8,A03,cohort 4,6/22/22,0,0,2,,
STBR3,1,8,A05,cohort 5,6/22/22,,,,,AC
STBR3,1,8,A07,cohort 8,6/22/22,0,0,0,,
STBR3,1,8,A09,cohort 3,6/22/22,0,1,3,,
STBR3,1,8,A11,cohort 3,6/22/22,0,1,1,,
STBR3,1,8,A13,cohort 1,6/22/22,,,,,ON SHORT SEASON BENCH-AC
STBR3,1,8,B02,cohort 2,6/22/22,0,1,1,,
STBR3,1,8,B04,cohort 6,6/22/22,,,,,AC
STBR3,1,8,B06,cohort 2,6/22/22,1,1,2,,
STBR3,1,8,B08,cohort 5,6/22/22,0,2,1,,
STBR3,1,8,B10,cohort 4,6/22/22,0,1,1,,
STBR3,1,8,B12,cohort 4,6/22/22,,,,,AC
STBR3,1,8,B14,cohort 4,6/22/22,,,,,AC
STBR3,1,8,C01,cohort 6,6/22/22,,,,,AC
STBR3,1,8,C03,cohort 5,6/22/22,0,1,1,,
STBR3,1,8,C05,cohort 8,6/22/22,0,0,0,,
STBR3,1,8,C07,cohort 4,6/22/22,N/A,N/A,N/A,N/A,DEAD
STBR3,1,8,C09,cohort 2,6/22/22,N/A,N/A,N/A,N/A,DEAD
STBR3,1,8,C11,cohort 6,6/22/22,,,,,AC
STBR3,1,8,C13,cohort 5,6/22/22,3,0,0,,
STBR3,1,8,D02,cohort 8,6/22/22,2,0,0,,
STBR3,1,8,D04,cohort 7,6/22/22,0,0,0,,
STBR3,1,8,D06,cohort 3,6/22/22,0,2,2,,
STBR3,1,8,D08,cohort 7,6/22/22,0,0,0,,
STBR3,1,8,D10,cohort 1,6/22/22,0,1,1,,
STBR3,1,8,D12,cohort 8,6/22/22,0,0,0,,
STBR3,1,8,D14,cohort 4,6/22/22,0,2,1,,
STBR3,1,8,E01,cohort 6,6/22/22,N/A,N/A,N/A,N/A,DEAD
STBR3,1,8,E03,cohort 1,6/22/22,0,1,1,,
STBR3,1,8,E05,cohort 8,6/22/22,1,0,0,,
STBR3,1,8,E09,cohort 3,6/22/22,0,1,1,,
STBR3,1,8,E11,cohort 2,6/22/22,0,2,1,,
STBR3,1,8,E13,cohort 2,6/22/22,,,,,AC
STBR3,1,8,F02,cohort 7,6/22/22,,,,,NO PLANT
STBR3,1,8,F04,cohort 5,6/22/22,2,1,1,,
STBR3,1,8,F06,cohort 3,6/22/22,,,,,AC
STBR3,1,8,F08,cohort 8,6/22/22,0,0,0,,
STBR3,1,8,F10,cohort 1,6/22/22,,,,,AC
STBR3,1,8,F12,cohort 1,6/22/22,,,,,AC
STBR3,1,8,F14,cohort 7,6/22/22,,,,,NO PLANT
STBR3,1,8,G01,cohort 2,6/22/22,,,,,AC
STBR3,1,8,G03,cohort 6,6/22/22,0,1,0,,
STBR3,1,8,G05,cohort 5,6/22/22,N/A,N/A,N/A,N/A,NO PLANT
STBR3,1,8,G07,cohort 1,6/22/22,,,,,ON SHORT SEASON BENCH-AC
STBR3,1,8,G09,cohort 3,6/22/22,0,1,2,,
STBR3,1,8,G11,cohort 6,6/22/22,0,0,1,,
STBR3,1,8,G13,cohort 7,6/22/22,,,,,NO PLANT
STDI,1,9,A01,cohort 4,6/22/22,0,0,0,,DEAD
STDI,1,9,A05,cohort 4,6/22/22,0,1,2,,
STDI,1,9,A07,cohort 5,6/22/22,0,1,2,,
STDI,1,9,A09,cohort 6,6/22/22,0,0,2,,
STDI,1,9,A11,cohort 4,6/22/22,0,1,3,,
STDI,1,9,A13,cohort 1,6/22/22,,,,,AC
