Bench,Block,Pop,Position,Cohort,Census Date,Flower/Bud Count,Mature Fruit Count,Pedicel Count,STTO-BH Height (cm),Notes (AC = Already Collected Plant)
1,9,STDI,D14,cohort 3,6/1/22,0,0,0,,NO PLANT
1,9,STDI,F12,cohort 3,6/1/22,0,0,0,,NO PLANT
1,9,STDI,G07,cohort 3,6/1/22,0,0,0,,NO PLANT
1,9,STDI,E13,cohort 4,6/1/22,0,0,0,,NO PLANT
1,9,STDI,E07,cohort 5,6/1/22,0,0,0,,NO PLANT
1,9,STDI,F06,cohort 5,6/1/22,0,0,0,,NO PLANT
1,9,STDI,F08,cohort 5,6/1/22,0,0,0,,NO PLANT
1,9,STDI,G03,cohort 5,6/1/22,0,0,0,,NO PLANT
1,9,STDI,C07,cohort 6,6/1/22,0,0,0,,NO PLANT
1,9,STDI,C09,cohort 6,6/1/22,0,0,0,,NO PLANT
1,9,STDI,C11,cohort 6,6/1/22,0,0,0,,NO PLANT
1,9,STDI,F04,cohort 6,6/1/22,0,0,0,,NO PLANT
1,9,STDI,C13,cohort 7,6/1/22,0,0,0,,NO PLANT
1,9,STDI,E01,cohort 7,6/1/22,0,0,0,,NO PLANT
1,9,STDI,E05,cohort 7,6/1/22,0,0,0,,NO PLANT
1,9,STDI,G11,cohort 7,6/1/22,0,0,0,,NO PLANT
1,9,STDI,D06,cohort 8,6/1/22,0,0,0,,NO PLANT
1,9,STDI,D08,cohort 8,6/1/22,0,0,0,,NO PLANT
1,9,STDI,D12,cohort 8,6/1/22,0,0,0,,NO PLANT
1,9,STDI,F02,cohort 8,6/1/22,0,0,0,,NO PLANT
1,9,STDI,F14,cohort 8,6/1/22,0,0,0,,NO PLANT
2,10,STTO_TM2,G07,cohort 1,6/1/22,0,0,0,,NO PLANT
4,14,STDI,E05,cohort 2,6/1/22,0,0,0,,NO PLANT - DEAD/VEG
1,1,CAAN2,C07,cohort 1,6/1/22,0,0,0,,ON SHORT SEASON BENCH
2,1,CACO1,B06,cohort 1,6/1/22,0,0,0,,ON SHORT SEASON BENCH
3,14,CACO1,C09,cohort 1,6/1/22,0,0,0,,ON SHORT SEASON BENCH
4,7,STGL1,E09,cohort 1,6/1/22,0,0,0,,ON SHORT SEASON BENCH - DIED
3,11,STPO,F06,cohort 1,6/1/22,0,0,0,,ON SHORT SEASON BENCH
4,3,STPO,G11,cohort 1,6/1/22,0,0,0,,ON SHORT SEASON BENCH
3,9,CAAM,F10,cohort 1,6/1/22,0,0,0,,
3,9,CAAM,A07,cohort 7,6/1/22,0,0,0,,
4,5,CAAM,A11,cohort 7,6/1/22,0,0,0,,
4,5,CAAM,B04,cohort 7,6/1/22,0,0,0,,
1,12,CAAM,C03,cohort 7,6/1/22,0,0,0,,
1,12,CAAM,C09,cohort 7,6/1/22,0,0,0,,
4,5,CAAM,A05,cohort 8,6/1/22,0,0,0,,
1,12,CAAM,C01,cohort 8,6/1/22,0,0,0,,
3,9,CAAM,D04,cohort 8,6/1/22,0,0,0,,
4,5,CAAM,E03,cohort 8,6/1/22,0,0,0,,
1,14,CAAN1,E07,cohort 3,6/1/22,0,0,0,,
1,14,CAAN1,E13,cohort 4,6/1/22,0,0,0,,
1,14,CAAN1,D12,cohort 5,6/1/22,0,0,0,,
3,5,CAAN1,A01,cohort 7,6/1/22,0,0,0,,
2,9,CAAN1,A09,cohort 7,6/1/22,0,0,0,,
3,5,CAAN1,B08,cohort 7,6/1/22,0,0,0,,
2,6,CAAN2,B10,cohort 3,6/1/22,0,0,0,,
3,2,CAAN2,A07,cohort 7,6/1/22,0,0,0,,
4,10,CAAN2,A07,cohort 8,6/1/22,0,0,0,,
3,14,CACO1,D04,cohort 6,6/1/22,0,0,0,,
3,14,CACO1,A09,cohort 7,6/1/22,0,0,0,,
3,14,CACO1,A03,cohort 8,6/1/22,0,0,0,,
2,3,CAIN3,A05,cohort 6,6/1/22,0,0,0,,
3,13,CAIN3,A01,cohort 7,6/1/22,0,0,0,,
3,13,CAIN3,B04,cohort 7,6/1/22,0,0,0,,
4,6,CAIN3,B04,cohort 7,6/1/22,0,0,0,,
2,3,CAIN3,C13,cohort 7,6/1/22,0,0,0,,
3,13,CAIN3,A03,cohort 8,6/1/22,0,0,0,,
4,6,CAIN3,A07,cohort 8,6/1/22,0,0,0,,
2,3,CAIN3,B04,cohort 8,6/1/22,0,0,0,,
1,13,CAIN4,C03,cohort 3,6/1/22,0,0,0,,
1,13,CAIN4,D04,cohort 6,6/1/22,0,0,0,,
4,12,CAIN4,A01,cohort 7,6/1/22,0,0,0,,
3,12,CAIN4,A09,cohort 7,6/1/22,0,0,0,,
1,13,CAIN4,C01,cohort 7,6/1/22,0,0,0,,
1,13,CAIN4,C09,cohort 7,6/1/22,0,0,0,,
1,8,STBR3,C09,cohort 2,6/1/22,0,0,0,,
2,5,STBR3,D14,cohort 2,6/1/22,0,0,0,,
4,2,STBR3,C05,cohort 3,6/1/22,0,0,0,,
4,2,STBR3,D02,cohort 4,6/1/22,0,0,0,,
4,2,STBR3,D14,cohort 5,6/1/22,0,0,0,,
4,2,STBR3,A09,cohort 6,6/1/22,0,0,0,,
1,8,STBR3,E01,cohort 6,6/1/22,0,0,0,,
4,2,STBR3,A05,cohort 7,6/1/22,0,0,0,,
3,3,STBR3,A13,cohort 7,6/1/22,0,0,0,,
3,3,STBR3,B06,cohort 7,6/1/22,0,0,0,,
4,2,STBR3,B10,cohort 7,6/1/22,0,0,0,,
4,2,STBR3,B12,cohort 7,6/1/22,0,0,0,,
2,5,STBR3,C09,cohort 7,6/1/22,0,0,0,,
1,8,STBR3,D04,cohort 7,6/1/22,0,0,0,,
1,8,STBR3,D08,cohort 7,6/1/22,0,0,0,,
2,5,STBR3,D12,cohort 7,6/1/22,0,0,0,,
2,5,STBR3,A05,cohort 8,6/1/22,0,0,0,,
1,8,STBR3,A07,cohort 8,6/1/22,0,0,0,,
4,2,STBR3,A07,cohort 8,6/1/22,0,0,0,,
3,3,STBR3,A11,cohort 8,6/1/22,0,0,0,,
2,5,STBR3,B02,cohort 8,6/1/22,0,0,0,,
1,8,STBR3,C05,cohort 8,6/1/22,0,0,0,,
2,5,STBR3,C11,cohort 8,6/1/22,0,0,0,,
4,2,STBR3,C11,cohort 8,6/1/22,0,0,0,,
3,3,STBR3,C13,cohort 8,6/1/22,0,0,0,,
4,2,STBR3,C13,cohort 8,6/1/22,0,0,0,,
1,8,STBR3,D02,cohort 8,6/1/22,0,0,0,,
4,2,STBR3,D10,cohort 8,6/1/22,0,0,0,,
1,8,STBR3,D12,cohort 8,6/1/22,0,0,0,,
3,3,STBR3,D14,cohort 8,6/1/22,0,0,0,,
2,5,STBR3,E03,cohort 8,6/1/22,0,0,0,,
1,8,STBR3,E05,cohort 8,6/1/22,0,0,0,,
2,5,STBR3,E07,cohort 8,6/1/22,0,0,0,,
3,3,STBR3,E09,cohort 8,6/1/22,0,0,0,,
4,2,STBR3,E11,cohort 8,6/1/22,0,0,0,,
1,8,STBR3,F08,cohort 8,6/1/22,0,0,0,,
3,3,STBR3,F10,cohort 8,6/1/22,0,0,0,,
4,2,STBR3,F14,cohort 8,6/1/22,0,0,0,,
3,3,STBR3,G07,cohort 8,6/1/22,0,0,0,,
2,5,STBR3,G13,cohort 8,6/1/22,0,0,0,,
2,13,STDI,A11,cohort 7,6/1/22,0,0,0,,
3,8,STDI,A05,cohort 8,6/1/22,0,0,0,,
4,14,STDI,A11,cohort 8,6/1/22,0,0,0,,
3,8,STDI,B14,cohort 8,6/1/22,0,0,0,,
2,2,STDR2,B02,cohort 1,6/1/22,0,0,0,,
4,11,STDR2,B02,cohort 1,6/1/22,0,0,0,,
4,11,STDR2,F04,cohort 1,6/1/22,0,0,0,,
3,4,STDR2,F06,cohort 2,6/1/22,0,0,0,,
3,4,STDR2,E07,cohort 5,6/1/22,0,0,0,,
2,12,STGL1,C05,cohort 1,6/1/22,0,0,0,,
3,10,STGL1,D02,cohort 1,6/1/22,0,0,0,,
4,7,STGL1,F12,cohort 1,6/1/22,0,0,0,,
3,10,STGL1,G03,cohort 1,6/1/22,0,0,0,,
3,10,STGL1,A03,cohort 3,6/1/22,0,0,0,,
3,10,STGL1,B12,cohort 3,6/1/22,0,0,0,,
4,7,STGL1,A11,cohort 6,6/1/22,0,0,0,,
2,12,STGL1,G01,cohort 8,6/1/22,0,0,0,,
2,4,STIN,C13,cohort 2,6/1/22,0,0,0,,
1,2,STIN,E09,cohort 8,6/1/22,0,0,0,,
4,8,STIN,E11,cohort 8,6/1/22,0,0,0,,
4,3,STPO,F10,cohort 1,6/1/22,0,0,0,,
3,11,STPO,B14,cohort 2,6/1/22,0,0,0,,
4,3,STPO,D10,cohort 2,6/1/22,0,0,0,,
4,3,STPO,C05,cohort 3,6/1/22,0,0,0,,
3,11,STPO,C09,cohort 3,6/1/22,0,0,0,,
2,7,STPO,F06,cohort 3,6/1/22,0,0,0,,
3,11,STPO,B12,cohort 4,6/1/22,0,0,0,,
3,11,STPO,D02,cohort 4,6/1/22,0,0,0,,
4,3,STPO,D04,cohort 4,6/1/22,0,0,0,,
2,7,STPO,D06,cohort 4,6/1/22,0,0,0,,
4,3,STPO,E07,cohort 4,6/1/22,0,0,0,,
3,11,STPO,A01,cohort 5,6/1/22,0,0,0,,
1,3,STPO,B02,cohort 5,6/1/22,0,0,0,,
4,3,STPO,C13,cohort 5,6/1/22,0,0,0,,
1,3,STPO,D04,cohort 5,6/1/22,0,0,0,,
3,11,STPO,E05,cohort 5,6/1/22,0,0,0,,
3,11,STPO,F04,cohort 5,6/1/22,0,0,0,,
4,3,STPO,A03,cohort 6,6/1/22,0,0,0,,
3,11,STPO,B08,cohort 6,6/1/22,0,0,0,,
4,3,STPO,C01,cohort 6,6/1/22,0,0,0,,
2,7,STPO,D02,cohort 6,6/1/22,0,0,0,,
3,11,STPO,D04,cohort 6,6/1/22,0,0,0,,
3,11,STPO,D10,cohort 6,6/1/22,0,0,0,,
4,3,STPO,D14,cohort 6,6/1/22,0,0,0,,
1,3,STPO,E05,cohort 6,6/1/22,0,0,0,,
2,7,STPO,E07,cohort 6,6/1/22,0,0,0,,
2,7,STPO,E09,cohort 6,6/1/22,0,0,0,,
4,3,STPO,E11,cohort 6,6/1/22,0,0,0,,
1,3,STPO,E13,cohort 6,6/1/22,0,0,0,,
3,11,STPO,F10,cohort 6,6/1/22,0,0,0,,
3,11,STPO,F14,cohort 6,6/1/22,0,0,0,,
4,3,STPO,G07,cohort 6,6/1/22,0,0,0,,
4,3,STPO,B02,cohort 7,6/1/22,0,0,0,,
3,11,STPO,C03,cohort 7,6/1/22,0,0,0,,
4,3,STPO,C03,cohort 7,6/1/22,0,0,0,,
3,11,STPO,C05,cohort 7,6/1/22,0,0,0,,
3,11,STPO,C11,cohort 7,6/1/22,0,0,0,,
2,7,STPO,D10,cohort 7,6/1/22,0,0,0,,
1,3,STPO,D12,cohort 7,6/1/22,0,0,0,,
2,7,STPO,D12,cohort 7,6/1/22,0,0,0,,
2,7,STPO,D14,cohort 7,6/1/22,0,0,0,,
2,7,STPO,A05,cohort 8,6/1/22,0,0,0,,
4,3,STPO,A09,cohort 8,6/1/22,0,0,0,,
4,3,STPO,A11,cohort 8,6/1/22,0,0,0,,
3,11,STPO,A13,cohort 8,6/1/22,0,0,0,,
4,3,STPO,B04,cohort 8,6/1/22,0,0,0,,
1,3,STPO,B08,cohort 8,6/1/22,0,0,0,,
1,3,STPO,B10,cohort 8,6/1/22,0,0,0,,
2,7,STPO,B12,cohort 8,6/1/22,0,0,0,,
2,7,STPO,B14,cohort 8,6/1/22,0,0,0,,
1,3,STPO,C01,cohort 8,6/1/22,0,0,0,,
3,11,STPO,C01,cohort 8,6/1/22,0,0,0,,
3,11,STPO,D06,cohort 8,6/1/22,0,0,0,,
3,11,STPO,D08,cohort 8,6/1/22,0,0,0,,
1,3,STPO,D14,cohort 8,6/1/22,0,0,0,,
4,3,STPO,E13,cohort 8,6/1/22,0,0,0,,
2,7,STPO,F02,cohort 8,6/1/22,0,0,0,,
4,3,STPO,F06,cohort 8,6/1/22,0,0,0,,
3,11,STPO,F12,cohort 8,6/1/22,0,0,0,,
2,10,STTO_TM2,A07,cohort 1,6/1/22,0,0,0,,
4,13,STTO_TM2,B04,cohort 1,6/1/22,0,0,0,,
2,10,STTO_TM2,A03,cohort 2,6/1/22,0,0,0,,
4,13,STTO_TM2,B12,cohort 2,6/1/22,0,0,0,,
1,6,STTO_TM2,C01,cohort 2,6/1/22,0,0,0,,
2,10,STTO_TM2,C13,cohort 2,6/1/22,0,0,0,,
4,13,STTO_TM2,D08,cohort 2,6/1/22,0,0,0,,
1,6,STTO_TM2,D12,cohort 2,6/1/22,0,0,0,,
1,6,STTO_TM2,E01,cohort 2,6/1/22,0,0,0,,
2,10,STTO_TM2,E09,cohort 2,6/1/22,0,0,0,,
2,10,STTO_TM2,F12,cohort 2,6/1/22,0,0,0,,
3,7,STTO_TM2,G09,cohort 2,6/1/22,0,0,0,,
4,13,STTO_TM2,A11,cohort 3,6/1/22,0,0,0,,
3,7,STTO_TM2,B02,cohort 3,6/1/22,0,0,0,,
4,13,STTO_TM2,B06,cohort 3,6/1/22,0,0,0,,
1,6,STTO_TM2,D14,cohort 3,6/1/22,0,0,0,,
3,7,STTO_TM2,E01,cohort 3,6/1/22,0,0,0,,
3,7,STTO_TM2,A03,cohort 4,6/1/22,0,0,0,,
4,13,STTO_TM2,A03,cohort 4,6/1/22,0,0,0,,
4,13,STTO_TM2,A07,cohort 4,6/1/22,0,0,0,,
1,6,STTO_TM2,B12,cohort 4,6/1/22,0,0,0,,
3,7,STTO_TM2,B12,cohort 4,6/1/22,0,0,0,,
4,13,STTO_TM2,B14,cohort 4,6/1/22,0,0,0,,
3,7,STTO_TM2,C09,cohort 4,6/1/22,0,0,0,,
4,13,STTO_TM2,D02,cohort 4,6/1/22,0,0,0,,
4,13,STTO_TM2,D12,cohort 4,6/1/22,0,0,0,,
3,7,STTO_TM2,A07,cohort 5,6/1/22,0,0,0,,
1,6,STTO_TM2,B04,cohort 5,6/1/22,0,0,0,,
4,13,STTO_TM2,B08,cohort 5,6/1/22,0,0,0,,
2,10,STTO_TM2,B10,cohort 5,6/1/22,0,0,0,,
2,10,STTO_TM2,C05,cohort 5,6/1/22,0,0,0,,
3,7,STTO_TM2,A01,cohort 6,6/1/22,0,0,0,,
2,10,STTO_TM2,A05,cohort 6,6/1/22,0,0,0,,
3,7,STTO_TM2,A09,cohort 6,6/1/22,0,0,0,,
4,13,STTO_TM2,B02,cohort 6,6/1/22,0,0,0,,
2,10,STTO_TM2,B04,cohort 6,6/1/22,0,0,0,,
1,6,STTO_TM2,C03,cohort 6,6/1/22,0,0,0,,
1,6,STTO_TM2,C05,cohort 6,6/1/22,0,0,0,,
4,13,STTO_TM2,C07,cohort 6,6/1/22,0,0,0,,
4,13,STTO_TM2,C11,cohort 6,6/1/22,0,0,0,,
1,6,STTO_TM2,A01,cohort 7,6/1/22,0,0,0,,
2,10,STTO_TM2,A09,cohort 7,6/1/22,0,0,0,,
3,7,STTO_TM2,A13,cohort 7,6/1/22,0,0,0,,
4,13,STTO_TM2,A13,cohort 7,6/1/22,0,0,0,,
1,6,STTO_TM2,F02,cohort 7,6/1/22,0,0,0,,
2,10,STTO_TM2,A01,cohort 8,6/1/22,0,0,0,,
4,13,STTO_TM2,A05,cohort 8,6/1/22,0,0,0,,
3,7,STTO_TM2,A11,cohort 8,6/1/22,0,0,0,,
3,7,STTO_TM2,B04,cohort 8,6/1/22,0,0,0,,
4,13,STTO_TM2,C01,cohort 8,6/1/22,0,0,0,,
2,10,STTO_TM2,E13,cohort 8,6/1/22,0,0,0,,
3,9,CAAM,E11,cohort 2,6/1/22,1,0,0,,
2,8,CAAM,C01,cohort 4,6/1/22,1,0,0,,
3,9,CAAM,A09,cohort 8,6/1/22,1,0,0,,
1,14,CAAN1,B06,cohort 5,6/1/22,1,0,0,,
1,14,CAAN1,B02,cohort 6,6/1/22,1,0,0,,
3,5,CAAN1,C07,cohort 6,6/1/22,1,0,0,,
2,6,CAAN2,A03,cohort 7,6/1/22,1,0,0,,
1,7,CACO1,B04,cohort 3,6/1/22,1,0,0,,
3,14,CACO1,E05,cohort 6,6/1/22,1,0,0,,
3,3,STBR3,E03,cohort 3,6/1/22,1,0,0,,
1,8,STBR3,C13,cohort 5,6/1/22,1,0,0,,
3,3,STBR3,B08,cohort 6,6/1/22,1,0,0,,
3,3,STBR3,C11,cohort 6,6/1/22,1,0,0,,
2,5,STBR3,C13,cohort 6,6/1/22,1,0,0,,
3,3,STBR3,D04,cohort 6,6/1/22,1,0,0,,
2,5,STBR3,D08,cohort 6,6/1/22,1,0,0,,
2,5,STBR3,E11,cohort 6,6/1/22,1,0,0,,
4,2,STBR3,E13,cohort 6,6/1/22,1,0,0,,
1,8,STBR3,G03,cohort 6,6/1/22,1,0,0,,
1,8,STBR3,G11,cohort 6,6/1/22,1,0,0,,
2,5,STBR3,C07,cohort 7,6/1/22,1,0,0,,
2,13,STDI,A13,cohort 8,6/1/22,1,0,0,,
4,11,STDR2,D14,cohort 3,6/1/22,1,0,0,,
4,11,STDR2,E07,cohort 3,6/1/22,1,0,0,,
4,7,STGL1,B04,cohort 3,6/1/22,1,0,0,,
2,12,STGL1,B12,cohort 3,6/1/22,1,0,0,,
2,12,STGL1,C13,cohort 3,6/1/22,1,0,0,,
4,7,STGL1,F14,cohort 4,6/1/22,1,0,0,,
1,4,STGL1,A03,cohort 6,6/1/22,1,0,0,,
4,8,STIN,E13,cohort 7,6/1/22,1,0,0,,
2,4,STIN,D10,cohort 8,6/1/22,1,0,0,,
4,8,STIN,D12,cohort 8,6/1/22,1,0,0,,
2,4,STIN,E05,cohort 8,6/1/22,1,0,0,,
3,1,STIN,F14,cohort 8,6/1/22,1,0,0,,
4,8,STIN,G07,cohort 8,6/1/22,1,0,0,,
2,7,STPO,A03,cohort 3,6/1/22,1,0,0,,
3,11,STPO,A09,cohort 4,6/1/22,1,0,0,,
2,7,STPO,A01,cohort 5,6/1/22,1,0,0,,
3,11,STPO,A03,cohort 5,6/1/22,1,0,0,,
4,3,STPO,B10,cohort 5,6/1/22,1,0,0,,
2,7,STPO,F08,cohort 5,6/1/22,1,0,0,,
3,11,STPO,C07,cohort 6,6/1/22,1,0,0,,
2,7,STPO,C09,cohort 6,6/1/22,1,0,0,,
2,7,STPO,C11,cohort 6,6/1/22,1,0,0,,
1,3,STPO,D06,cohort 6,6/1/22,1,0,0,,
3,7,STTO_TM2,E05,cohort 2,6/1/22,1,0,0,,
3,9,CAAM,F08,cohort 6,6/1/22,2,0,0,,
4,9,CAAN1,D08,cohort 3,6/1/22,2,0,0,,
1,7,CACO1,B12,cohort 7,6/1/22,2,0,0,,
2,3,CAIN3,E09,cohort 1,6/1/22,2,0,0,,
4,6,CAIN3,F14,cohort 4,6/1/22,2,0,0,,
4,6,CAIN3,A03,cohort 6,6/1/22,2,0,0,,
4,12,CAIN4,A03,cohort 6,6/1/22,2,0,0,,
3,12,CAIN4,A07,cohort 6,6/1/22,2,0,0,,
2,5,STBR3,D06,cohort 2,6/1/22,2,0,0,,
3,3,STBR3,B02,cohort 4,6/1/22,2,0,0,,
2,5,STBR3,B08,cohort 5,6/1/22,2,0,0,,
2,5,STBR3,F02,cohort 5,6/1/22,2,0,0,,
3,8,STDI,A07,cohort 6,6/1/22,2,0,0,,
4,11,STDR2,D02,cohort 3,6/1/22,2,0,0,,
3,4,STDR2,F04,cohort 6,6/1/22,2,0,0,,
4,7,STGL1,G13,cohort 1,6/1/22,2,0,0,,
2,12,STGL1,A11,cohort 5,6/1/22,2,0,0,,
1,4,STGL1,B12,cohort 5,6/1/22,2,0,0,,
2,12,STGL1,A01,cohort 6,6/1/22,2,0,0,,
3,10,STGL1,B14,cohort 6,6/1/22,2,0,0,,
4,8,STIN,B06,cohort 6,6/1/22,2,0,0,,
4,8,STIN,G01,cohort 6,6/1/22,2,0,0,,
4,8,STIN,D08,cohort 7,6/1/22,2,0,0,,
4,8,STIN,E09,cohort 7,6/1/22,2,0,0,,
4,8,STIN,F02,cohort 8,6/1/22,2,0,0,,
3,11,STPO,A05,cohort 1,6/1/22,2,0,0,,
3,11,STPO,E09,cohort 2,6/1/22,2,0,0,,
4,3,STPO,G03,cohort 4,6/1/22,2,0,0,,
2,7,STPO,A07,cohort 5,6/1/22,2,0,0,,
2,7,STPO,C03,cohort 6,6/1/22,2,0,0,,
1,3,STPO,D08,cohort 6,6/1/22,2,0,0,,
4,3,STPO,F14,cohort 6,6/1/22,2,0,0,,
2,10,STTO_TM2,B08,cohort 1,6/1/22,2,0,0,,
4,13,STTO_TM2,F04,cohort 2,6/1/22,2,0,0,,
3,7,STTO_TM2,C05,cohort 4,6/1/22,2,0,0,,
4,4,CACO1,B04,cohort 3,6/1/22,3,0,0,,
4,4,CACO1,D02,cohort 8,6/1/22,3,0,0,,
2,5,STBR3,G03,cohort 4,6/1/22,3,0,0,,
1,8,STBR3,G05,cohort 5,6/1/22,3,0,0,,
4,14,STDI,A13,cohort 8,6/1/22,3,0,0,,
1,9,STDI,B14,cohort 8,6/1/22,3,0,0,,
1,5,STDR2,E09,cohort 6,6/1/22,3,0,0,,
2,12,STGL1,D12,cohort 3,6/1/22,3,0,0,,
4,8,STIN,A09,cohort 7,6/1/22,3,0,0,,
3,1,STIN,A09,cohort 8,6/1/22,3,0,0,,
3,1,STIN,B10,cohort 8,6/1/22,3,0,0,,
3,1,STIN,D08,cohort 8,6/1/22,3,0,0,,
1,2,STIN,E13,cohort 8,6/1/22,3,0,0,,
1,3,STPO,B12,cohort 4,6/1/22,3,0,0,,
2,7,STPO,C13,cohort 5,6/1/22,3,0,0,,
3,9,CAAM,C03,cohort 6,6/1/22,4,0,0,,
3,9,CAAM,B10,cohort 7,6/1/22,4,0,0,,
1,8,STBR3,F04,cohort 5,6/1/22,4,0,0,,
2,7,STPO,D04,cohort 4,6/1/22,4,0,0,,
1,3,STPO,A03,cohort 6,6/1/22,4,0,0,,
1,3,STPO,G11,cohort 6,6/1/22,4,0,0,,
4,5,CAAM,D04,cohort 3,6/1/22,5,0,0,,
1,4,STGL1,F12,cohort 2,6/1/22,5,0,0,,
1,3,STPO,A01,cohort 5,6/1/22,5,0,0,,
1,4,STGL1,D02,cohort 3,6/1/22,6,0,0,,
4,3,STPO,B12,cohort 1,6/1/22,0,0,1,,DRIED OUT
2,9,CAAN1,C01,cohort 1,6/1/22,0,0,1,,ON SHORT SEASON BENCH
1,14,CAAN1,F12,cohort 1,6/1/22,0,0,1,,ON SHORT SEASON BENCH
2,6,CAAN2,F02,cohort 1,6/1/22,0,0,1,,ON SHORT SEASON BENCH
2,1,CACO1,E03,cohort 1,6/1/22,0,0,1,,ON SHORT SEASON BENCH
4,4,CACO1,E11,cohort 1,6/1/22,0,0,1,,ON SHORT SEASON BENCH
3,14,CACO1,F14,cohort 1,6/1/22,0,0,1,,ON SHORT SEASON BENCH
4,11,STDR2,C03,cohort 1,6/1/22,0,0,1,,ON SHORT SEASON BENCH
3,10,STGL1,A01,cohort 1,6/1/22,0,0,1,,ON SHORT SEASON BENCH
3,11,STPO,D12,cohort 1,6/1/22,0,0,1,,ON SHORT SEASON BENCH
1,3,STPO,F06,cohort 1,6/1/22,0,0,1,,ON SHORT SEASON BENCH
4,5,CAAM,B12,cohort 2,6/1/22,0,0,1,,
2,8,CAAM,G07,cohort 2,6/1/22,0,0,1,,
1,12,CAAM,D06,cohort 3,6/1/22,0,0,1,,
2,8,CAAM,D06,cohort 4,6/1/22,0,0,1,,
2,9,CAAN1,F10,cohort 3,6/1/22,0,0,1,,
2,6,CAAN2,G13,cohort 1,6/1/22,0,0,1,,
3,2,CAAN2,A05,cohort 6,6/1/22,0,0,1,,
2,1,CACO1,C05,cohort 1,6/1/22,0,0,1,,
2,1,CACO1,A07,cohort 5,6/1/22,0,0,1,,
4,4,CACO1,D04,cohort 6,6/1/22,0,0,1,,
4,6,CAIN3,E09,cohort 1,6/1/22,0,0,1,,
4,6,CAIN3,G03,cohort 2,6/1/22,0,0,1,,
1,11,CAIN3,B06,cohort 4,6/1/22,0,0,1,,
2,3,CAIN3,D12,cohort 5,6/1/22,0,0,1,,
1,11,CAIN3,E03,cohort 5,6/1/22,0,0,1,,
1,11,CAIN3,A13,cohort 6,6/1/22,0,0,1,,
3,13,CAIN3,D04,cohort 6,6/1/22,0,0,1,,
2,14,CAIN4,G01,cohort 2,6/1/22,0,0,1,,
4,2,STBR3,F08,cohort 2,6/1/22,0,0,1,,
2,5,STBR3,F08,cohort 3,6/1/22,0,0,1,,
1,8,STBR3,C07,cohort 4,6/1/22,0,0,1,,
3,3,STBR3,G13,cohort 5,6/1/22,0,0,1,,
3,3,STBR3,B14,cohort 6,6/1/22,0,0,1,,
1,9,STDI,A01,cohort 4,6/1/22,0,0,1,,
2,13,STDI,A05,cohort 6,6/1/22,0,0,1,,
1,9,STDI,A09,cohort 6,6/1/22,0,0,1,,
4,8,STIN,C01,cohort 3,6/1/22,0,0,1,,
3,1,STIN,C11,cohort 6,6/1/22,0,0,1,,
4,8,STIN,A13,cohort 7,6/1/22,0,0,1,,
4,3,STPO,E01,cohort 2,6/1/22,0,0,1,,
