"For each pollination day, write the date at the top and an Y (yes) or N (no) for if the individual was pollinated or not.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bench,Block,Pop,Cohort,Position,Date: 2/11,Date: 2/14,Date:2/16,Date:2/18,Date:2/21,Date:2/23,Date:2/25,Date:2/28,Date:3/2,Date:3/4,Date:3/7,Date:3/9,Date:3/11,Date:3/14,Date:3/16,Date:3/18,Date:3/21,Date:3/23,Date:3/25,Date:3/28,Date:3/30,Date:4/1,Date:4/4,Date:4/6,Date:4/8,Date:4/11,Date:4/13,Date:4/15,Date:4/18,Date:4/20,Date:4/22,Date:4/25,Date:4/27,Date:4/29,5/16/22
2,3,CAIN3,cohort 1,A03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,CAIN3,cohort 1,B14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,CAIN3,cohort 1,D06,,,,,,,,,,,,,,,Y,Y,N,,,,,,,,,,,,,,,,,,
2,3,CAIN3,cohort 1,D10,,,,,,Y,Y,Y,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,
2,3,CAIN3,cohort 1,E09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,CAIN3,cohort 1,G05,,,,,,,,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,
2,3,CAIN3,cohort 2,A07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,CAIN3,cohort 2,B08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,CAIN3,cohort 2,D08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,CAIN3,cohort 2,E01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,CAIN3,cohort 2,F04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,CAIN3,cohort 2,F10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,CAIN3,cohort 3,A13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,CAIN3,cohort 3,C11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,CAIN3,cohort 3,F06,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,
2,3,CAIN3,cohort 3,F08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,CAIN3,cohort 3,G03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,CAIN3,cohort 3,G11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,CAIN3,cohort 4,B06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,CAIN3,cohort 4,C01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,CAIN3,cohort 4,C07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,CAIN3,cohort 4,D02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,CAIN3,cohort 4,D04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,CAIN3,cohort 4,E13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,CAIN3,cohort 5,B02,,,,,,,,,,,,,,,,,,,Y,Y,N,,,,,,,,,,,,,,
2,3,CAIN3,cohort 5,C09,,,,,,,,,,,,,,,,,,,,Y,Y,Y,N,,,,,,,,,,,,
2,3,CAIN3,cohort 5,D12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,CAIN3,cohort 5,D14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,CAIN3,cohort 5,G07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,CAIN3,cohort 5,G09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,CAIN3,cohort 6,A01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,CAIN3,cohort 6,A05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,CAIN3,cohort 6,A11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,CAIN3,cohort 6,E11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,CAIN3,cohort 6,F14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,CAIN3,cohort 6,G13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,CAIN3,cohort 7,B12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,CAIN3,cohort 7,C13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,CAIN3,cohort 7,E07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,CAIN3,cohort 7,F02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,CAIN3,cohort 7,F12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,CAIN3,cohort 7,G01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,CAIN3,cohort 8,B04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,CAIN3,cohort 8,B10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,CAIN3,cohort 8,C03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,CAIN3,cohort 8,C05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,CAIN3,cohort 8,E03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,CAIN3,cohort 8,E05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,CAIN3,cohort 1,A05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,CAIN3,cohort 1,B14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,CAIN3,cohort 1,C09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,CAIN3,cohort 1,E13,,,,Y,Y,Y,Y,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,,
3,13,CAIN3,cohort 1,G03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,CAIN3,cohort 1,G07,,,,Y,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,CAIN3,cohort 2,E01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,CAIN3,cohort 2,E03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,CAIN3,cohort 2,F14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,CAIN3,cohort 2,G01,,,,,,Y,N,N,,,,,,,,,,,,,,Y,Y,Y,,,,,,,,,,,
3,13,CAIN3,cohort 2,G09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,CAIN3,cohort 2,G13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,CAIN3,cohort 3,A13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,CAIN3,cohort 3,D02,,,,,,,,,,,,Y,Y,N,,,,,,,,,,,,,,,,,,,,,
3,13,CAIN3,cohort 3,E05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,CAIN3,cohort 3,E07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,CAIN3,cohort 3,E09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,CAIN3,cohort 3,G05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,CAIN3,cohort 4,A11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,CAIN3,cohort 4,B06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,CAIN3,cohort 4,C05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,CAIN3,cohort 4,C11,,,,,,,,,,,,,,Y,Y,Y,N,,,,,,,,,,,,,,,,,,
3,13,CAIN3,cohort 4,D06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,CAIN3,cohort 4,D14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,CAIN3,cohort 5,A07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,CAIN3,cohort 5,A09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,CAIN3,cohort 5,B02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,CAIN3,cohort 5,C07,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,
3,13,CAIN3,cohort 5,F10,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,
3,13,CAIN3,cohort 5,F12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,CAIN3,cohort 6,C01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,CAIN3,cohort 6,C03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,N,,,
3,13,CAIN3,cohort 6,D04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,CAIN3,cohort 6,F02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,
3,13,CAIN3,cohort 6,F08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,
3,13,CAIN3,cohort 6,G11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,
3,13,CAIN3,cohort 7,A01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,CAIN3,cohort 7,B04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,CAIN3,cohort 7,B10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,CAIN3,cohort 7,D10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,CAIN3,cohort 7,D12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,CAIN3,cohort 7,F06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,CAIN3,cohort 8,A03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,CAIN3,cohort 8,B12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,CAIN3,cohort 8,C13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,CAIN3,cohort 8,D08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,CAIN3,cohort 8,E11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,CAIN3,cohort 8,F04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,CAIN3,cohort 1,B08,N,Y,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,CAIN3,cohort 1,C07,,,,,Y,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,CAIN3,cohort 1,D06,Y,Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,CAIN3,cohort 1,E01,,,,,Y,Y,Y,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,,
4,6,CAIN3,cohort 1,E09,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,
4,6,CAIN3,cohort 1,G13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,CAIN3,cohort 2,B02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,CAIN3,cohort 2,E11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,CAIN3,cohort 2,E13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,CAIN3,cohort 2,F02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,CAIN3,cohort 2,G01,,,,,,,,,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,
4,6,CAIN3,cohort 2,G03,,,,,,,,,,,,,,,Y,Y,N,,,,,,,,,,,,,,,,,,
4,6,CAIN3,cohort 3,B12,,,,,,,Y,Y,Y,Y,N,,,,,,Y,Y,N,,,,,,,,,,,,,,,,
4,6,CAIN3,cohort 3,C01,,,,,,,,,,,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,
4,6,CAIN3,cohort 3,D08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,CAIN3,cohort 3,D10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,CAIN3,cohort 3,E07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,CAIN3,cohort 3,F08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,CAIN3,cohort 4,A01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,CAIN3,cohort 4,A11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,CAIN3,cohort 4,A13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,CAIN3,cohort 4,C03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,CAIN3,cohort 4,C09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,CAIN3,cohort 4,F14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,CAIN3,cohort 5,A05,,,,,,,,,,,,,,,,,,,,Y,Y,N,N,,,,,,,,,,,,
4,6,CAIN3,cohort 5,B06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,CAIN3,cohort 5,B14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,CAIN3,cohort 5,D04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,CAIN3,cohort 5,D12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,CAIN3,cohort 5,G05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,CAIN3,cohort 6,A03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,CAIN3,cohort 6,B10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,CAIN3,cohort 6,C11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,CAIN3,cohort 6,F06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,CAIN3,cohort 6,G09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,CAIN3,cohort 6,G11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y
4,6,CAIN3,cohort 7,A09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,CAIN3,cohort 7,B04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,CAIN3,cohort 7,C05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,CAIN3,cohort 7,C13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,CAIN3,cohort 7,D14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,CAIN3,cohort 7,G07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,CAIN3,cohort 8,A07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,CAIN3,cohort 8,D02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,CAIN3,cohort 8,E03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,CAIN3,cohort 8,E05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,CAIN3,cohort 8,F04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,CAIN3,cohort 8,F12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
