Month,Day,Max.2m,Min.2m,Max.15m,Min.15m
May,3,77,56,73,55
May,4,83,50,80,54
May,5,90,53,87,54
May,6,76,54,72,55
May,7,79,51,76,51
May,8,78,50,75,46
May,9,70,43,65,43
May,10,67,38,63,40
May,11,64,37,60,41
May,12,75,41,71,43
May,13,77,45,73,47
May,14,85,54,82,55
May,15,93,55,90,57
May,16,95,50,91,53
May,17,86,49,NA,NA
May,18,95,51,91,53
May,19,100,66,97,68
May,20,94,NA,89,58
May,21,84,36,81,60
May,22,90,51,87,54
May,23,93,55,89,58
May,24,97,61,93,67
May,25,101,65,97,69
May,26,103,58,100,59
May,27,84,54,81,55
May,28,85,56,81,56
May,29,82,50,77,52
May,30,84,67,80,55
May,31,NA,NA,81,57
June,1,90,53,86,54
June,2,95,57,91,58
June,3,94,57,90,57
June,4,88,58,83,58
June,5,80,60,76,60
June,6,82,56,78,56
June,7,90,55,88,57
June,8,95,59,92,60
June,9,93,59,89,60
June,10,101,64,97,67
June,11,103,64,100,68
June,12,100,66,96,66
June,13,85,57,81,59
June,14,87,65,82,66
June,15,94,61,89,64
June,16,97,57,93,57
June,17,80,54,85,53
June,18,75,48,72,49
June,19,90,48,75,55
June,20,90,57,86,59
June,21,95,68,90,70
June,22,105,63,101,71
June,23,101,70,97,69
June,24,102,57,98,60
June,25,101,56,98,58
June,26,101,54,97,56
June,27,101,54,98,55
June,28,105,58,101,58
June,29,100,53,96,55
June,30,92,52,89,54
