Pop,Bench,Block,Position,Cohort,long.repro.census.date,long.flower.bud.count,long.mature.fruit.count,long.pedicel.count,long.STTO.BH.height.cm,long.repro.notes,short.repro.census.date,short.flower.bud.count,short.mature.fruit.count,short.pedicel.count,short.STTO.BH.height.cm,short.repro.notes,transplant.height.cm,transplant.height.notes,Mid.Season.Height.Pheno.Stage,Mid.Season.Height.cm,Mid.Season.Height.Notes,First.Bud.Date,first.bud.height.cm,First.Flower.Date,first.flower.height.cm,First.Fruit.Date,first.fruit.height.cm,Death.Date,phenology.notes,biomass.BGB.STTO.BH.g,total.ABG.biomass,biomass.notes,plant.date,transplant.date,rando.date,long.fruit.count.seeds,long.seed.counts,long.seed.weight.g,Season,Species
CAAM,3,9,D12,cohort 2,6/22/22,NA,NA,NA,NA,AC,6/1/22,NA,NA,NA,NA,AC,0.6,,FR,17.9,,2/7/22,NA,2/23/22,NA,3/9/22,17.5,NA,,NA,0.024,,10/11/21,10/28/21,11/18/21,1,5,0.0062,LONG,CAAM
CAAM,3,9,D14,cohort 2,6/22/22,0,0,8,,,6/1/22,2,1,2,NA,,0.7,,V,2.1,,3/25/22,7.2,4/6/22,10.5,4/15/22,11.2,NA,,NA,0.0118,,10/11/21,10/28/21,11/18/21,1,0,0,LONG,CAAM
CAAM,3,9,E11,cohort 2,6/22/22,0,0,2,,,6/1/22,1,0,0,NA,,1,,B,7.3,,3/16/22,13.1,3/21/22,10.5,3/30/22,10.6,NA,,NA,0.0223,,10/11/21,10/28/21,11/18/21,1,2,0.0022,LONG,CAAM
CAAM,3,9,F04,cohort 2,6/22/22,0,0,14,,,6/1/22,5,1,4,NA,,0.8,,FR,14.2,,NA,NA,2/18/22,NA,3/7/22,14,NA,height recorded 3/30,NA,0.0308,,10/11/21,10/28/21,11/18/21,3,0,0,LONG,CAAM
CAAM,3,9,F14,cohort 2,6/22/22,0,0,3,,,6/1/22,0,1,2,NA,,1.3,,FL,21.5,,2/16/22,NA,3/7/22,NA,3/16/22,22.1,NA,,NA,0.0305,,10/11/21,10/28/21,11/18/21,2,2,0.0019,LONG,CAAM
CAAM,4,5,A03,cohort 2,6/22/22,0,0,7,,,6/1/22,0,0,7,NA,,1.4,,FR,17.6,,NA,NA,2/18/22,NA,3/2/22,17.1,NA,height recorded 4/4,NA,0.0358,,10/11/21,10/28/21,11/18/21,1,6,0.0113,LONG,CAAM
CAAM,4,5,B12,cohort 2,6/22/22,NA,NA,NA,NA,AC,6/1/22,0,0,1,NA,,0.7,,FR,16.7,,2/3/22,NA,2/21/22,NA,3/7/22,16.1,NA,height recorded 4/4,NA,0.023,,10/11/21,10/28/21,11/18/21,1,4,0.0066,LONG,CAAM
CAAM,4,5,C01,cohort 2,6/22/22,0,0,6,,,6/1/22,0,2,3,NA,,0.6,,B,7,,2/16/22,NA,3/10/22,8.1,4/7/22,9.5,NA,,NA,0.0183,,10/11/21,10/28/21,11/18/21,0,0,0,LONG,CAAM
CAAM,4,5,D14,cohort 2,6/22/22,NA,NA,NA,NA,AC,6/1/22,NA,NA,NA,NA,AC,0.6,,FR,14.9,,2/11/22,NA,2/23/22,NA,3/7/22,16.1,NA,height recorded 4/4,NA,0.0212,,10/11/21,10/28/21,11/18/21,1,3,0.0044,LONG,CAAM
CAAM,4,5,F04,cohort 2,6/22/22,0,0,4,,,6/1/22,1,0,2,NA,,1.2,,FL,3,,3/16/22,4.6,4/13/22,5.5,NA,NA,NA,,NA,0.0108,,10/11/21,10/28/21,11/18/21,0,0,0,LONG,CAAM
CAAM,4,5,F14,cohort 2,6/22/22,NA,NA,NA,NA,AC,6/1/22,0,0,4,NA,,1.1,,B,9.5,,NA,NA,3/15/22,10.6,3/30/22,10.7,NA,,NA,0.0156,,10/11/21,10/28/21,11/18/21,1,0,0,LONG,CAAM
CAAM,1,12,A11,cohort 3,6/22/22,0,2,2,,,6/1/22,0,0,3,NA,,1.4,,B,6.2,,3/14/22,NA,3/16/22,7.7,4/6/22,7.9,NA,,NA,0.0128,,11/1/21,11/18/21,12/9/21,1,0,0,LONG,CAAM
CAAM,1,12,B08,cohort 3,6/22/22,NA,NA,NA,NA,AC,6/1/22,0,0,3,NA,,1.2,,FL,9.6,,2/16/22,NA,3/7/22,10.2,4/4/22,10.5,NA,,NA,0.013,,11/1/21,11/18/21,12/9/21,1,0,0,LONG,CAAM
CAAM,1,12,C11,cohort 3,6/22/22,0,0,4,,,6/1/22,2,0,4,NA,,1.1,,B,2.6,,3/16/22,5.1,3/23/22,9.9,3/25/22,6.9,NA,4/22 added green pick,NA,0.0064,,11/1/21,11/18/21,12/9/21,0,0,0,LONG,CAAM
CAAM,1,12,D06,cohort 3,6/22/22,NA,NA,NA,NA,AC,6/1/22,0,0,1,NA,,1.1,,B,8.1,,3/4/22,9.9,4/15/22,10.3,NA,NA,NA,,NA,0.0126,,11/1/21,11/18/21,12/9/21,1,0,0,LONG,CAAM
CAAM,2,8,A01,cohort 3,6/22/22,NA,NA,NA,NA,DEAD,6/1/22,NA,NA,NA,NA,DEAD,1.2,,V,1.1,,NA,NA,4/13/22,1.6,NA,NA,5/20/22,picked for bud some day as flower,NA,0.0011,,11/1/21,11/18/21,12/9/21,0,0,0,LONG,CAAM
CAAM,2,8,A05,cohort 3,6/22/22,NA,NA,NA,NA,AC,6/1/22,0,1,2,NA,,1.1,,B,6.6,,3/2/22,NA,3/21/22,9.1,3/28/22,8.6,NA,,NA,0.0073,,11/1/21,11/18/21,12/9/21,1,0,0,LONG,CAAM
CAAM,2,8,B10,cohort 3,6/22/22,NA,NA,NA,NA,DEAD,6/1/22,NA,NA,NA,NA,DEAD,0.9,,B,7.3,,3/2/22,NA,NA,NA,NA,NA,5/11/22,,NA,0.0069,,11/1/21,11/18/21,12/9/21,0,0,0,LONG,CAAM
CAAM,2,8,D04,cohort 3,6/22/22,NA,NA,NA,NA,AC,6/1/22,0,1,0,NA,,1.4,,B,4.6,,3/7/22,NA,3/28/22,6.5,4/8/22,6.4,NA,,NA,0.0081,,11/1/21,11/18/21,12/9/21,1,1,5.00E-04,LONG,CAAM
CAAM,3,9,A11,cohort 3,6/22/22,0,0,2,,,6/1/22,2,0,2,NA,,1,,V,1.1,,3/30/22,4.8,5/31/22,6.5,NA,NA,NA,,NA,0.0081,,11/1/21,11/18/21,12/9/21,0,0,0,LONG,CAAM
CAAM,3,9,B04,cohort 3,6/22/22,0,0,3,,,6/1/22,0,0,3,NA,,1.1,,V,3,,3/18/22,5.3,4/15/22,9.1,NA,NA,NA,,NA,0.0126,,11/1/21,11/18/21,12/9/21,0,0,0,LONG,CAAM
CAAM,3,9,B08,cohort 3,6/22/22,0,1,1,,,6/1/22,0,1,1,NA,,1.1,,B,4.9,,3/11/22,5.3,3/25/22,9.8,3/14/22,11.6,NA,,NA,0.0095,,11/1/21,11/18/21,12/9/21,1,1,9.00E-04,LONG,CAAM
CAAM,3,9,C01,cohort 3,6/22/22,0,0,2,,,6/1/22,0,2,0,NA,,1.1,11/23 from cohort 3,V,0.9,,4/6/22,1.7,4/20/22,1.7,5/13/22,1.7,NA,,NA,0.0054,,11/1/21,11/18/21,12/9/21,0,0,0,LONG,CAAM
CAAM,4,5,A09,cohort 3,6/22/22,NA,NA,NA,NA,DEAD,6/1/22,NA,NA,NA,NA,DEAD,0.7,,V,1,,NA,NA,NA,NA,NA,NA,4/4/22,,NA,0.0025,,11/1/21,11/18/21,12/9/21,0,0,0,LONG,CAAM
CAAM,4,5,B10,cohort 3,6/22/22,0,0,3,,,6/1/22,0,1,6,NA,,1.6,,B,5.4,,3/11/22,5.6,3/30/22,10.1,4/13/22,9.6,NA,,NA,0.0107,,11/1/21,11/18/21,12/9/21,1,0,0,LONG,CAAM
CAAM,4,5,D04,cohort 3,6/22/22,0,0,2,,,6/1/22,5,0,0,NA,,1.2,,V,2,,3/16/22,3.6,5/2/22,6.6,NA,NA,NA,,NA,0.0108,,11/1/21,11/18/21,12/9/21,0,0,0,LONG,CAAM
CAAM,4,5,E11,cohort 3,6/22/22,0,0,2,,,6/1/22,0,1,1,NA,,1.3,11/23 from cohort 3,B,2.8,,3/11/22,2.7,NA,NA,4/15/22,3.6,NA,no flower pick 4/15,NA,0.0076,,11/1/21,11/18/21,12/9/21,0,0,0,LONG,CAAM
CAAM,1,12,E07,cohort 4,6/22/22,NA,NA,NA,NA,AC,6/1/22,0,0,2,NA,,1.5,,B,9.5,,3/4/22,NA,3/23/22,12.7,3/28/22,12.5,NA,,NA,0.0104,,11/22/21,12/9/21,12/30/21,2,1,0.0016,LONG,CAAM
CAAM,1,12,E11,cohort 4,6/22/22,0,0,3,,,6/1/22,1,1,3,NA,,1.7,,V,3.9,,3/16/22,5.2,3/28/22,8.9,NA,NA,NA,,NA,0.0114,,11/22/21,12/9/21,12/30/21,1,0,0,LONG,CAAM
CAAM,1,12,G11,cohort 4,6/22/22,NA,NA,NA,NA,AC,6/1/22,0,0,3,NA,,1.2,,V,2.2,,3/18/22,5.1,3/28/22,7.3,NA,NA,NA,,NA,0.0047,,11/22/21,12/9/21,12/30/21,0,0,0,LONG,CAAM
CAAM,2,8,B06,cohort 4,6/22/22,NA,NA,NA,NA,AC,6/1/22,0,3,1,NA,,2,,V,1.8,,3/25/22,5.8,4/27/22,8.8,NA,NA,NA,,NA,0.0075,,11/22/21,12/9/21,12/30/21,0,0,0,LONG,CAAM
CAAM,2,8,C01,cohort 4,6/22/22,0,1,1,,,6/1/22,1,0,0,NA,,0.9,,V,1.2,,3/25/22,5.2,4/4/22,6.4,4/13/22,7.1,NA,already had fruit pick but not flower 4/13,NA,0.0135,,11/22/21,12/9/21,12/30/21,0,0,0,LONG,CAAM
CAAM,2,8,D06,cohort 4,6/22/22,NA,NA,NA,NA,AC,6/1/22,0,0,1,NA,,1.2,,B,5.6,,3/4/22,NA,3/21/22,8.7,3/28/22,8.4,NA,,NA,0.0105,,11/22/21,12/9/21,12/30/21,1,1,0.0011,LONG,CAAM
CAAM,2,8,E05,cohort 4,6/22/22,NA,NA,NA,NA,DEAD,6/1/22,0,0,2,NA,,1.3,,V,4.4,,3/11/22,5.1,3/25/22,12.4,4/4/22,12.4,5/23/22,,NA,0.02,,11/22/21,12/9/21,12/30/21,1,1,0.0014,LONG,CAAM
CAAM,3,9,A03,cohort 4,6/22/22,NA,NA,NA,NA,AC,6/1/22,0,0,2,NA,,2.4,,B,7.2,,3/7/22,NA,3/23/22,12.2,4/13/22,12.2,NA,,NA,0.0129,,11/22/21,12/9/21,12/30/21,1,2,0.0019,LONG,CAAM
CAAM,3,9,B06,cohort 4,6/22/22,0,0,3,,,6/1/22,0,1,4,NA,,1.5,,B,5.2,,3/16/22,8,3/28/22,12.5,4/7/22,13.1,NA,,NA,0.0212,,11/22/21,12/9/21,12/30/21,1,0,0,LONG,CAAM
CAAM,3,9,B14,cohort 4,6/22/22,0,0,7,,,6/1/22,0,1,7,NA,,1.2,,B,10,,3/2/22,NA,3/16/22,NA,3/25/22,14.5,NA,,NA,0.0202,,11/22/21,12/9/21,12/30/21,0,0,0,LONG,CAAM
CAAM,3,9,C09,cohort 4,6/22/22,0,1,2,,,6/1/22,4,1,4,NA,,1.3,,V,3.7,,NA,NA,3/30/22,11.4,4/15/22,11.4,NA,3/30 had pink pick but not recorded as budding,NA,0.0204,,11/22/21,12/9/21,12/30/21,0,0,0,LONG,CAAM
CAAM,4,5,B06,cohort 4,6/22/22,NA,NA,NA,NA,AC,6/1/22,0,0,3,NA,,2.4,,V,3.6,,3/14/22,5.8,3/28/22,13.7,4/20/22,13.7,NA,already marked for fruit 4/20,NA,0.0257,,11/22/21,12/9/21,12/30/21,1,1,0.0016,LONG,CAAM
CAAM,4,5,C09,cohort 4,6/22/22,0,0,4,,,6/1/22,0,0,4,NA,,1.5,,B,9,,3/30/22,7.2,4/17/22,9.4,4/15/22,9.4,NA,attempted branching,NA,0.0198,,11/22/21,12/9/21,12/30/21,0,0,0,LONG,CAAM
CAAM,4,5,E01,cohort 4,6/22/22,0,0,4,,,6/1/22,2,2,2,NA,,1,,B,10.9,,3/4/22,NA,3/21/22,18.8,3/28/22,21.2,NA,,NA,0.0401,,11/22/21,12/9/21,12/30/21,1,2,0.0032,LONG,CAAM
CAAM,4,5,F10,cohort 4,6/22/22,NA,NA,NA,NA,AC,6/1/22,0,0,6,NA,,1.6,,B,10.1,,3/4/22,NA,3/16/22,11.4,3/28/22,13.2,NA,,NA,0.012,,11/22/21,12/9/21,12/30/21,1,0,0,LONG,CAAM
CAAM,1,12,A07,cohort 5,6/22/22,NA,NA,NA,NA,AC,6/1/22,4,0,6,NA,,1.4,,V,1.7,,4/1/22,7.1,4/7/22,10.5,NA,NA,NA,,NA,0.0279,,12/13/21,12/30/21,1/20/22,1,5,0.0075,LONG,CAAM
CAAM,1,12,A09,cohort 5,6/22/22,NA,NA,NA,NA,AC,6/1/22,0,0,4,NA,,1.4,,B,9.5,,3/7/22,NA,3/23/22,20.9,3/25/22,21.1,NA,,NA,0.0259,,12/13/21,12/30/21,1/20/22,1,0,0,LONG,CAAM
CAAM,1,12,C05,cohort 5,6/22/22,NA,NA,NA,NA,AC,6/1/22,4,0,1,NA,,1.5,,V,2.3,,3/16/22,4.3,4/4/22,12.6,NA,NA,NA,,NA,0.017,,12/13/21,12/30/21,1/20/22,0,0,0,LONG,CAAM
CAAM,1,12,C07,cohort 5,6/22/22,NA,NA,NA,NA,DEAD,6/1/22,NA,NA,NA,NA,DEAD,2.3,1/11 late germ,V,1.5,drying out,NA,NA,NA,NA,NA,NA,3/25/22,2.5 cm at death,NA,0.0164,,12/13/21,12/30/21,1/20/22,0,0,0,LONG,CAAM
CAAM,1,12,E09,cohort 5,6/22/22,NA,NA,NA,NA,AC,6/1/22,0,0,10,NA,,1.9,,B,12.2,,3/4/22,NA,3/18/22,19.6,3/25/22,22.1,NA,,NA,0.0395,,12/13/21,12/30/21,1/20/22,2,14,0.0124,LONG,CAAM
CAAM,1,12,G09,cohort 5,6/22/22,0,0,3,,,6/1/22,0,0,4,NA,,1.5,,V,2.9,,3/18/22,5.3,3/28/22,10.1,4/4/22,11.3,NA,,NA,0.0246,,12/13/21,12/30/21,1/20/22,0,0,0,LONG,CAAM
CAAM,2,8,C09,cohort 5,6/22/22,0,0,11,,,6/1/22,5,0,5,NA,,1,,V,1.4,,3/25/22,7.7,4/6/22,15.8,4/15/22,16.3,NA,,NA,0.036,,12/13/21,12/30/21,1/20/22,1,0,0,LONG,CAAM
CAAM,2,8,D02,cohort 5,6/22/22,NA,NA,NA,NA,AC,6/1/22,0,0,2,NA,,2.4,,V,6.9,,3/16/22,13.2,3/25/22,22.6,4/4/22,22.6,NA,,NA,0.0367,,12/13/21,12/30/21,1/20/22,2,4,0.0056,LONG,CAAM
CAAM,2,8,D10,cohort 5,6/22/22,NA,NA,NA,NA,AC,6/1/22,0,0,2,NA,,2.1,,V,1.7,,3/25/22,9.7,4/4/22,15.6,4/8/22,16.2,NA,,NA,0.0306,,12/13/21,12/30/21,1/20/22,1,3,0.0041,LONG,CAAM
CAAM,2,8,F12,cohort 5,6/22/22,NA,NA,NA,NA,DEAD,6/1/22,NA,NA,NA,NA,DEAD,1.3,,V,1.1,,NA,NA,NA,NA,NA,NA,4/18/22,,NA,0.0178,,12/13/21,12/30/21,1/20/22,0,0,0,LONG,CAAM
CAAM,2,8,G03,cohort 5,6/22/22,NA,NA,NA,NA,DEAD,6/1/22,0,0,2,NA,,0.5,,V,0.8,,5/2/22,2.5,NA,NA,NA,NA,6/8/22,,NA,0.0101,,12/13/21,12/30/21,1/20/22,0,0,0,LONG,CAAM
