,Pop,Bench,Block,Position,Cohort,long.repro.census.date,long.flower.bud.count,long.mature.fruit.count,long.pedicel.count,long.STTO.BH.height.cm,long.repro.notes,short.repro.census.date,short.flower.bud.count,short.mature.fruit.count,short.pedicel.count,short.STTO.BH.height.cm,short.repro.notes,transplant.height.cm,transplant.height.notes,Mid.Season.Height.Pheno.Stage,Mid.Season.Height.cm,Mid.Season.Height.Notes,First.Bud.Date,first.bud.height.cm,First.Flower.Date,first.flower.height.cm,First.Fruit.Date,first.fruit.height.cm,Death.Date,phenology.notes,biomass.BGB.STTO.BH.g,total.ABG.biomass,biomass.notes,plant.date,transplant.date,rando.date,long.fruit.count.seeds,long.seed.counts,long.seed.weight.g,Season,Species,First.Bud.Date.jday,First.Flower.Date.jday,First.Fruit.Date.jday,rando.date.jday,Bud.season_days,Bud.data_days,Bud.perc_complete,Bud.chilling_Hours,Bud.utah_Model,Bud.chill_portions,Bud.GDH,Flower.season_days,Flower.data_days,Flower.perc_complete,Flower.chilling_Hours,Flower.utah_Model,Flower.chill_portions,Flower.GDH,Fruit.season_days,Fruit.data_days,Fruit.perc_complete,Fruit.chilling_Hours,Fruit.utah_Model,Fruit.chill_portions,Fruit.GDH,Bud.PTU,flower.PTU,fruit.PTU,bud.to.fruit.PTU
11,CAAN1,1,14,B12,cohort 1,6/22/22,NA,NA,NA,NA,AC,6/1/22,0,2,0,NA,,1,coh 7 blk 2 rep 13,B,2.2,,3/7/22,NA,3/21/22,4.1,4/15/22,3.6,NA,,NA,0.0036,,9/20/21,10/7/21,10/28/21,0,0,0,LONG,CAAN,66,80,105,301,131,131,100,863,943,47.85115683,21197.68516,145,145,100,890,914,47.85115683,24402.56156,170,170,100,910,755.5,48.84833034,30017.08711,15528.94151,18274.6561,24076.99663,8713.325129
12,CAAN1,1,14,B14,cohort 7,6/22/22,NA,NA,NA,NA,DEAD,6/1/22,NA,NA,NA,NA,DEAD,0.4,didn't survive,,NA,not in yet,NA,NA,NA,NA,NA,NA,NA,,NA,0,,2/7/22,2/24/22,3/17/22,0,0,0,LONG,CAAN,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,CAAN1,1,14,C03,cohort 5,6/22/22,NA,NA,NA,NA,DEAD,6/1/22,NA,NA,NA,NA,DEAD,0.7,,B,5.2,,3/4/22,NA,3/14/22,6.1,3/28/22,6.5,5/25/22,missing 5/25,NA,0.004,,12/13/21,12/30/21,1/20/22,1,2,0.0006,LONG,CAAN,63,73,87,20,44,44,100,298,188.5,9.725745432,7922.081744,54,54,100,348,206,9.9047205,9997.223589,68,68,100,356,127,9.9047205,13163.61811,6286.761498,8034.303804,11106.98154,5009.508284
14,CAAN1,1,14,C05,cohort 1,6/22/22,NA,NA,NA,NA,ON SHORT SEASON BENCH-AC,6/1/22,0,0,4,NA,ON SHORT SEASON BENCH,1.3,,B,5.3,,3/7/22,NA,3/14/22,5.5,4/15/22,5,NA,,NA,0.0078,,9/20/21,10/7/21,10/28/21,0,0,0,SHORT,CAAN,66,73,105,301,131,131,100,863,943,47.85115683,21197.68516,138,138,100,883,942,47.85115683,22740.83963,170,170,100,910,755.5,48.84833034,30017.08711,15528.94151,16860.60238,24076.99663,8713.325129
15,CAAN1,1,14,C07,cohort 3,6/22/22,NA,NA,NA,NA,DEAD,6/1/22,NA,NA,NA,NA,DEAD,0.8,11/23 from cohort 3,FL,8.5,,2/21/22,NA,3/9/22,8.7,3/16/22,9.1,5/11/22,,NA,0.0132,,11/1/21,11/18/21,12/9/21,1,5,0.0021,LONG,CAAN,52,68,75,343,75,75,100,657,757,34.58420648,10070.82512,91,91,100,763,805.5,37.95265813,12984.46622,98,98,100,777,788.5,37.95265813,14642.09196,7879.178594,10378.6636,11736.54212,3996.037259
16,CAAN1,1,14,C11,cohort 2,6/22/22,N/A,N/A,N/A,N/A,DEAD,6/1/22,NA,NA,NA,NA,DEAD,0.9,,FL,5,,2/18/22,NA,3/4/22,NA,3/28/22,5.5,5/23/22,,NA,0.0037,,10/11/21,10/28/21,11/18/21,1,2,0.0007,LONG,CAAN,49,63,87,322,93,93,100,729,908,42.68286873,13015.14401,107,107,100,821,950.5,45.87234531,15551.43829,131,131,100,879,889,46.05132038,20792.97466,9875.706522,12020.29482,16840.51486,7128.657438
17,CAAN1,1,14,C13,cohort 5,6/22/22,NA,NA,NA,NA,AC,6/1/22,1,3,0,NA,,0.9,1/11 late germ,V,0.9,,4/6/22,5,4/13/22,6.8,4/22/22,7.2,NA,,NA,0.0093,,12/13/21,12/30/21,1/20/22,1,0,0,LONG,CAAN,96,103,112,20,77,77,100,359,70.5,10.90189401,15155.17292,84,84,100,375,23,10.90189401,16818.81841,93,93,100,386,-10.5,10.90189401,18995.29814,13207.19767,14887.96535,16830.15163,3915.347573
18,CAAN1,1,14,D02,cohort 4,6/22/22,NA,NA,NA,NA,DEAD,6/1/22,NA,NA,NA,NA,DEAD,1.2,,FR,10.2,,2/16/22,NA,2/28/22,NA,3/11/22,10,5/11/22,,NA,0.0132,,11/22/21,12/9/21,12/30/21,1,6,0.0027,LONG,CAAN,47,59,70,364,49,49,100,386,375.5,19.02715451,7579.890098,61,61,100,489,422.5,22.21663109,9697.146148,72,72,100,527,445,22.39560616,11923.56874,5782.279365,7526.555015,9440.159914,3828.362508
19,CAAN1,1,14,D04,cohort 5,6/22/22,N/A,N/A,N/A,N/A,DEAD,6/1/22,NA,NA,NA,NA,DEAD,1,1/11 petri,V,1.2,,3/23/22,3.2,3/28/22,5.4,4/1/22,6.6,5/23/22,,NA,0.0083,,12/13/21,12/30/21,1/20/22,2,8,0.0033,LONG,CAAN,82,87,91,20,63,63,100,355,146,9.9047205,12151.2865,68,68,100,356,127,9.9047205,13163.61811,72,72,100,359,113.5,10.90189401,14025.67148,10015.13908,11106.98154,11948.46719,2208.223982
20,CAAN1,1,14,D08,cohort 6,6/22/22,NA,NA,NA,NA,AC,6/1/22,NA,NA,NA,NA,AC,0.4,,V,0.4,,5/20/22,2.1,6/6/22,2.6,NA,NA,NA,,NA,0.0056,,1/10/22,1/27/22,2/17/22,0,0,0,LONG,CAAN,140,157,NA,48,93,93,100,207,-452,4.365625159,20075.70408,110,110,100,207,-775.5,4.365625159,24179.58187,NA,NA,NA,NA,NA,NA,NA,21489.35835,27856.14672,NA,NA
21,CAAN1,1,14,D12,cohort 5,6/22/22,NA,NA,NA,NA,AC,6/1/22,0,0,0,NA,,0.3,1/11 petri,V,2.2,,3/25/22,7.9,3/25/22,7.9,4/15/22,9.4,NA,bud/flower same day,NA,0.0055,,12/13/21,12/30/21,1/20/22,1,2,0.0006,LONG,CAAN,84,84,105,20,65,65,100,355,134.5,9.9047205,12497.22708,65,65,100,355,134.5,9.9047205,12497.22708,86,86,100,375,19.5,10.90189401,17273.47106,10521.06298,10521.06298,15250.69805,4970.706812
22,CAAN1,1,14,E01,cohort 6,6/22/22,NA,NA,NA,NA,AC,6/1/22,0,1,0,NA,,1,,V,0.8,,4/1/22,5.2,4/8/22,7.5,4/22/22,7.8,NA,,NA,0.0084,,1/10/22,1/27/22,2/17/22,1,2,0.0004,LONG,CAAN,91,98,112,48,44,44,100,164,-27,4.365625159,9060.401661,51,51,100,164,-97.5,4.365625159,10588.5127,65,65,100,191,-151,4.365625159,14030.02832,8135.707155,10013.71092,13017.39159,5128.190851
23,CAAN1,1,14,E07,cohort 3,6/22/22,0,0,3,,,6/1/22,0,0,0,NA,,0.7,11/23 from cohort 3b,V,0.6,,4/15/22,2,NA,NA,NA,NA,NA,,NA,0.0041,,11/1/21,11/18/21,12/9/21,3,11,0.007,LONG,CAAN,105,NA,NA,343,128,128,100,804,616,38.94983163,21391.81566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18526.6262,NA,NA,NA
24,CAAN1,1,14,E13,cohort 4,6/22/22,NA,NA,NA,NA,AC,6/1/22,0,0,0,NA,,0.5,,FL,8.5,,2/21/22,NA,3/9/22,8.2,3/28/22,8.5,NA,,NA,0.0089,,11/22/21,12/9/21,12/30/21,1,2,0.0014,LONG,CAAN,52,68,87,364,54,54,100,419,395.5,19.02715451,8567.100794,70,70,100,525,444,22.39560616,11480.7419,89,89,100,547,362,22.39560616,15778.23839,6572.769775,9072.254784,13076.50087,6642.404833
25,CAAN1,1,14,F02,cohort 1,6/22/22,NA,NA,NA,NA,AC,6/1/22,NA,NA,NA,NA,AC,1.9,,FL,10.7,,2/21/22,NA,3/7/22,NA,3/16/22,11.4,NA,,NA,0.0242,,9/20/21,10/7/21,10/28/21,1,10,0.0031,LONG,CAAN,52,66,75,301,117,117,100,763,896.5,44.48270518,18696.09656,131,131,100,863,943,47.85115683,21197.68516,140,140,100,883,928,47.85115683,23267.3634,13429.54903,15528.94151,17286.91255,3996.037259
26,CAAN1,1,14,F10,cohort 1,6/22/22,NA,NA,NA,NA,ON SHORT SEASON BENCH-AC,6/1/22,0,1,1,NA,ON SHORT SEASON BENCH,2.1,,FR,10.1,,2/11/22,NA,2/28/22,NA,3/4/22,10.4,NA,,NA,0.0183,,9/20/21,10/7/21,10/28/21,1,3,0.001,SHORT,CAAN,42,59,63,301,107,107,100,720,866.5,43.47749439,16677.09247,124,124,100,833,923.5,47.67218176,19826.14191,128,128,100,833,924.5,47.67218176,20665.69779,11801.81511,14383.33427,15113.06008,3500.876545
27,CAAN1,1,14,F12,cohort 1,6/22/22,NA,NA,NA,NA,ON SHORT SEASON BENCH-AC,6/1/22,0,0,1,NA,ON SHORT SEASON BENCH,0.8,coh 7 blk 3 rep 12,B,4.5,,3/4/22,NA,3/14/22,4.8,4/1/22,4.9,NA,,NA,0.0067,,9/20/21,10/7/21,10/28/21,1,1,0.0005,SHORT,CAAN,63,73,91,301,128,128,100,833,924.5,47.67218176,20665.69779,138,138,100,883,942,47.85115683,22740.83963,156,156,100,894,849.5,48.84833034,26769.28752,15113.06008,16860.60238,20774.76577,5850.993933
28,CAAN1,1,14,G03,cohort 1,6/22/22,N/A,N/A,N/A,N/A,DEAD,6/1/22,NA,NA,NA,NA,DEAD,1,coh 4 blk 2 rep 13,FR,9.9,,2/14/22,NA,3/2/22,NA,3/7/22,9.1,5/23/22,,NA,0.0092,,9/20/21,10/7/21,10/28/21,1,1,0.0006,LONG,CAAN,45,61,66,301,110,110,100,725,870,43.47749439,17285.27852,126,126,100,833,920,47.67218176,20245.289,131,131,100,863,943,47.85115683,21197.68516,12340.48435,14795.9218,15528.94151,3349.300497
29,CAAN1,1,14,G09,cohort 4,6/22/22,NA,NA,NA,NA,AC,6/1/22,NA,NA,NA,NA,AC,1,,FR,8.1,,2/11/22,NA,2/21/22,NA,3/4/22,8.6,NA,,NA,0.0065,,11/22/21,12/9/21,12/30/21,1,2,0.0006,LONG,CAAN,42,52,63,364,44,44,100,376,365.5,18.02194371,6548.096705,54,54,100,419,395.5,19.02715451,8567.100794,65,65,100,489,423.5,22.21663109,10536.70202,4945.035858,6572.769775,8256.280828,3500.876545
30,CAAN1,1,14,G13,cohort 4,6/22/22,NA,NA,NA,NA,AC,6/1/22,NA,NA,NA,NA,AC,0.4,,FL,6,,2/16/22,NA,NA,NA,3/11/22,6.1,NA,,NA,0.0051,,11/22/21,12/9/21,12/30/21,1,1,0.0002,LONG,CAAN,47,NA,70,364,49,49,100,386,375.5,19.02715451,7579.890098,NA,NA,NA,NA,NA,NA,NA,72,72,100,527,445,22.39560616,11923.56874,5782.279365,NA,9440.159914,3828.362508
31,CAAN1,2,9,A01,cohort 1,6/22/22,NA,NA,NA,NA,DEAD,6/1/22,NA,NA,NA,NA,DEAD,1.2,was an extra plant,FR,13.3,,1/10/22,NA,1/24/22,NA,2/9/22,NA,4/18/22,,NA,0.0258,,9/20/21,10/7/21,10/28/21,2,9,0.0041,LONG,CAAN,10,24,40,301,75,75,100,441,646.5,33.82728365,11468.78619,89,89,100,577,763.5,39.35701903,13576.04458,105,105,100,717,868.5,43.47749439,16252.95135,7878.749027,9382.601568,11424.62156,3656.145413
32,CAAN1,2,9,A03,cohort 4,6/22/22,NA,NA,NA,NA,DEAD,6/1/22,NA,NA,NA,NA,DEAD,0.4,,FR,10.1,,2/14/22,NA,2/23/22,NA,3/9/22,10.1,5/11/22,,NA,0.0141,,11/22/21,12/9/21,12/30/21,3,5,0.0017,LONG,CAAN,45,54,68,364,47,47,100,381,369,18.02194371,7156.282758,56,56,100,446,413,20.02903161,8809.969335,70,70,100,525,444,22.39560616,11480.7419,5483.705096,6785.865616,9072.254784,3749.393021
33,CAAN1,2,9,A05,cohort 6,6/22/22,NA,NA,NA,NA,AC,6/1/22,NA,NA,NA,NA,AC,0.3,,V,0.4,,4/6/22,6.5,4/11/22,7.5,4/15/22,8.4,NA,,NA,0.0024,,1/10/22,1/27/22,2/17/22,1,1,0.0004,LONG,CAAN,96,101,105,48,49,49,100,164,-70,4.365625159,10189.90311,54,54,100,164,-121.5,4.365625159,11424.21097,58,58,100,180,-121,4.365625159,12308.20124,9394.437632,10709.31752,11437.93801,2335.893992
34,CAAN1,2,9,A07,cohort 6,6/22/22,NA,NA,NA,NA,AC,6/1/22,0,1,2,NA,,0.6,,V,0.6,,4/6/22,4.2,4/15/22,5.5,4/22/22,6.2,NA,,NA,0.0037,,1/10/22,1/27/22,2/17/22,0,0,0,LONG,CAAN,96,105,112,48,49,49,100,164,-70,4.365625159,10189.90311,58,58,100,180,-121,4.365625159,12308.20124,65,65,100,191,-151,4.365625159,14030.02832,9394.437632,11437.93801,13017.39159,3915.347573
35,CAAN1,2,9,A09,cohort 7,6/22/22,0,0,0,,,6/1/22,0,0,0,NA,,0.3,,,NA,not in yet,NA,NA,NA,NA,NA,NA,NA,,NA,0,,2/7/22,2/24/22,3/17/22,0,0,0,LONG,CAAN,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,CAAN1,2,9,A11,cohort 4,6/22/22,N/A,N/A,N/A,N/A,DEAD,6/1/22,NA,NA,NA,NA,DEAD,1,,FR,15.1,,2/16/22,NA,2/28/22,NA,3/7/22,NA,5/23/22,,NA,0.019,,11/22/21,12/9/21,12/30/21,5,8,0.0036,LONG,CAAN,47,59,66,364,49,49,100,386,375.5,19.02715451,7579.890098,61,61,100,489,422.5,22.21663109,9697.146148,68,68,100,519,442,22.39560616,11068.6894,5782.279365,7526.555015,8672.16226,3060.364854
37,CAAN1,2,9,A13,cohort 7,6/22/22,NA,NA,NA,NA,DEAD,6/1/22,NA,NA,NA,NA,DEAD,0.7,,,NA,not in yet,NA,NA,NA,NA,NA,NA,NA,,NA,0,,2/7/22,2/24/22,3/17/22,0,0,0,LONG,CAAN,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,CAAN1,2,9,B02,cohort 3,6/22/22,NA,NA,NA,NA,AC,6/1/22,0,0,5,NA,,1.3,,FR,13.1,,2/14/22,NA,2/25/22,NA,3/11/22,12.7,NA,,NA,0.0184,,11/1/21,11/18/21,12/9/21,3,5,0.0024,LONG,CAAN,45,56,70,343,68,68,100,619,730.5,33.57899568,8660.00708,79,79,100,705,779,36.76783873,10630.92536,93,93,100,765,806.5,37.95265813,13427.29306,6790.113914,8350.759882,10746.56873,4117.298151
39,CAAN1,2,9,B04,cohort 8,6/22/22,N/A,N/A,N/A,N/A,DEAD,6/1/22,NA,NA,NA,NA,DEAD,1,Didn't survive 3/31/21,,NA,not in yet,NA,NA,NA,NA,NA,NA,3/31/22,,NA,0,NO PLANT,3/7/22,3/24/22,4/14/22,0,0,0,LONG,CAAN,NA,NA,NA,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,CAAN1,2,9,B06,cohort 4,6/22/22,N/A,N/A,N/A,N/A,DEAD,6/1/22,NA,NA,NA,NA,DEAD,0.5,,FR,14,,2/11/22,NA,2/21/22,NA,3/2/22,NA,5/23/22,,NA,0.0173,,11/22/21,12/9/21,12/30/21,3,9,0.0038,LONG,CAAN,42,52,61,364,44,44,100,376,365.5,18.02194371,6548.096705,54,54,100,419,395.5,19.02715451,8567.100794,63,63,100,489,419,22.21663109,10116.29324,4945.035858,6572.769775,7939.142553,3183.73827
41,CAAN1,2,9,B08,cohort 4,6/22/22,NA,NA,NA,NA,DEAD,6/1/22,NA,NA,NA,NA,DEAD,0.5,,FR,10.7,,2/14/22,NA,2/25/22,NA,3/7/22,NA,5/11/22,,NA,0.0115,,11/22/21,12/9/21,12/30/21,1,3,0.0012,LONG,CAAN,45,56,66,364,47,47,100,381,369,18.02194371,7156.282758,58,58,100,467,417.5,21.21078677,9127.201036,68,68,100,519,442,22.39560616,11068.6894,5483.705096,7044.351063,8672.16226,3349.300497
42,CAAN1,2,9,B12,cohort 5,6/22/22,N/A,N/A,N/A,N/A,DEAD,6/1/22,NA,NA,NA,NA,DEAD,0.8,,FL,10.3,,3/14/22,NA,3/9/22,9.6,3/23/22,13.9,5/23/22,,NA,0,,12/13/21,12/30/21,1/20/22,3,7,0.0027,LONG,CAAN,73,68,82,20,54,54,100,348,206,9.9047205,9997.223589,49,49,100,334,209,9.9047205,8866.12162,63,63,100,355,146,9.9047205,12151.2865,8034.303804,7102.735454,10015.13908,2176.146311
43,CAAN1,2,9,B14,cohort 5,6/22/22,NA,NA,NA,NA,AC,6/1/22,0,0,3,NA,,0.9,,V,2.1,,3/11/22,2.5,3/21/22,4.3,4/1/22,4.4,NA,,NA,0.0034,,12/13/21,12/30/21,1/20/22,0,0,0,LONG,CAAN,70,80,91,20,51,51,100,336,210,9.9047205,9308.948457,61,61,100,355,178,9.9047205,11658.94551,72,72,100,359,113.5,10.90189401,14025.67148,7470.640584,9448.35752,11948.46719,4677.181581
44,CAAN1,2,9,C01,cohort 1,6/22/22,NA,NA,NA,NA,ON SHORT SEASON BENCH-AC,6/1/22,0,0,1,NA,ON SHORT SEASON BENCH,1.5,coh 5 blk 1 rep 11,V,1.2,,4/13/22,2.2,4/27/22,2.1,NA,NA,NA,,NA,0.0051,,9/20/21,10/7/21,10/28/21,0,0,0,SHORT,CAAN,103,117,NA,301,168,168,100,910,759,48.84833034,29562.43446,182,182,100,921,681,48.84833034,32713.50722,NA,NA,NA,NA,NA,NA,NA,23714.26393,27102.99394,NA,NA
45,CAAN1,2,9,C03,cohort 6,6/22/22,NA,NA,NA,NA,DEAD,6/1/22,NA,NA,NA,NA,DEAD,1,,,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,0,,1/10/22,1/27/22,2/17/22,0,0,0,LONG,CAAN,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,CAAN1,2,9,C05,cohort 2,6/22/22,NA,NA,NA,NA,DEAD,6/1/22,NA,NA,NA,NA,DEAD,0.4,,FR,6.4,,2/18/22,NA,2/28/22,NA,3/11/22,6.5,5/11/22,,NA,0.0047,,10/11/21,10/28/21,11/18/21,1,1,0.0005,LONG,CAAN,49,59,70,322,93,93,100,729,908,42.68286873,13015.14401,103,103,100,821,949.5,45.87234531,14711.88242,114,114,100,859,972,46.05132038,16938.305,9875.706522,11290.56901,13204.1739,3492.316481
47,CAAN1,2,9,C09,cohort 1,6/22/22,NA,NA,NA,NA,AC,6/1/22,NA,NA,NA,NA,AC,0.7,coh 2 blk 2 rep 10,V,2.7,,3/7/22,NA,3/18/22,3.7,4/1/22,4.1,NA,,NA,0.0031,,9/20/21,10/7/21,10/28/21,1,0,0,LONG,CAAN,66,77,91,301,131,131,100,863,943,47.85115683,21197.68516,142,142,100,888,925.5,47.85115683,23658.46311,156,156,100,894,849.5,48.84833034,26769.28752,15528.94151,17692.00619,20774.76577,5411.094272
48,CAAN1,2,9,C11,cohort 5,6/22/22,NA,NA,NA,NA,AC,6/1/22,NA,NA,NA,NA,AC,1.1,1/11 petri,V,1.7,,4/8/22,2.5,4/27/22,4.1,5/25/22,4.3,NA,,NA,0.0219,,12/13/21,12/30/21,1/20/22,0,0,0,LONG,CAAN,98,117,145,20,79,79,100,359,43,10.90189401,15553.78252,98,98,100,386,-55,10.90189401,19969.89118,126,126,100,402,-413.5,10.90189401,26141.70143,13826.47095,18276.69536,27350.42557,13839.57551
49,CAAN1,2,9,D02,cohort 1,6/22/22,NA,NA,NA,NA,DEAD,6/1/22,NA,NA,NA,NA,DEAD,1.2,coh 5 blk 1 rep 1,FL,4.3,,2/18/22,NA,3/4/22,NA,4/8/22,5,5/13/22,,NA,0.003,,9/20/21,10/7/21,10/28/21,1,1,0.0003,LONG,CAAN,49,63,98,301,114,114,100,741,882,44.48270518,18129.4035,128,128,100,833,924.5,47.67218176,20665.69779,163,163,100,894,779,48.84833034,28297.39856,12968.47178,15113.06008,22652.76953,9848.146851
50,CAAN1,2,9,D08,cohort 4,6/22/22,NA,NA,NA,NA,AC,6/1/22,NA,NA,NA,NA,AC,0.3,,B,5.2,,3/7/22,NA,3/16/22,7.4,3/25/22,7.4,NA,,NA,0.0068,,11/22/21,12/9/21,12/30/21,1,2,0.001,LONG,CAAN,66,75,84,364,68,68,100,519,442,22.39560616,11068.6894,77,77,100,539,427,22.39560616,13138.36764,86,86,100,546,369.5,22.39560616,15111.84736,8672.16226,10430.1333,12490.58231,3983.690058
